alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	18.6984377782	bm25	1
1.0	0.0	summary	0	51.7590366116	bm25	2
0.99	0.01	summary	0	8.71225796026	bm25	3
0.01	0.99	summary	0	18.5462979424	bm25	4
0.01	0.99	summary	0	18.6772696421	bm25	5
1.0	0.0	summary	0	27.4530516115	bm25	6
0.09	0.91	summary	0	25.3723962809	bm25	7
0.99	0.01	summary	0	48.4845244849	bm25	8
0.01	0.99	summary	0	2.73241268467	bm25	9
0.87	0.13	summary	0	7.21084554916	bm25	10
0.99	0.01	summary	0	20.3995017906	bm25	11
0.01	0.99	summary	0	23.6174299443	bm25	12
0.01	0.99	summary	0	21.1272519345	bm25	13
0.51	0.49	summary	0	28.6054743658	bm25	14
0.99	0.01	summary	0	22.5675439529	bm25	15
1.0	0.0	summary	0	3.48790425639	bm25	16
0.01	0.99	summary	0	15.6517383286	bm25	17
1.0	0.0	summary	0	19.7012352799	bm25	18
0.01	0.99	summary	0	21.6083795966	bm25	19
1.0	0.0	summary	0	31.234958254	bm25	20
0.01	0.99	summary	0	38.9849106855	bm25	21
0.01	0.99	summary	0	12.3921898142	bm25	22
1.0	0.0	summary	0	27.1434429665	bm25	23
0.99	0.01	summary	0	20.5928845088	bm25	24
1.0	0.0	summary	0	4.20320220664	bm25	25
0.01	0.99	summary	0	17.1110086876	bm25	26
0.99	0.01	summary	0	101.778612658	bm25	27
0.73	0.27	summary	0	12.6829207503	bm25	28
0.01	0.99	summary	0	21.1169726791	bm25	29
0.99	0.01	summary	0	16.9476365876	bm25	30
