alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	18.7003066023	dfr	1
1.0	0.0	summary	0	51.5190277533	dfr	2
0.99	0.01	summary	0	8.46164979553	dfr	3
1.0	0.0	summary	0	18.5452789348	dfr	4
0.01	0.99	summary	0	18.6781290449	dfr	5
1.0	0.0	summary	0	27.7147922994	dfr	6
0.01	0.99	summary	0	25.3740350202	dfr	7
0.99	0.01	summary	0	48.4787140034	dfr	8
0.01	0.99	summary	0	2.7332100001	dfr	9
0.47	0.53	summary	0	7.21660936431	dfr	10
0.99	0.01	summary	0	20.6467721998	dfr	11
0.01	0.99	summary	0	23.6265824049	dfr	12
0.01	0.99	summary	0	20.8711027341	dfr	13
0.94	0.06	summary	0	28.5977365103	dfr	14
0.99	0.01	summary	0	22.5719862109	dfr	15
1.0	0.0	summary	0	3.74089164589	dfr	16
0.01	0.99	summary	0	15.4069148161	dfr	17
1.0	0.0	summary	0	19.692180006	dfr	18
0.01	0.99	summary	0	21.6173046323	dfr	19
1.0	0.0	summary	0	30.9640733413	dfr	20
0.01	0.99	summary	0	39.503031077	dfr	21
0.01	0.99	summary	0	12.3912647564	dfr	22
1.0	0.0	summary	0	27.1310336228	dfr	23
0.99	0.01	summary	0	20.5927296691	dfr	24
1.0	0.0	summary	0	4.20375817882	dfr	25
0.01	0.99	summary	0	17.0989378404	dfr	26
0.99	0.01	summary	0	101.498126938	dfr	27
0.74	0.26	summary	0	12.6855800715	dfr	28
0.01	0.99	summary	0	21.1137223474	dfr	29
1.0	0.0	summary	0	16.9618277597	dfr	30
