alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	18.7030630788	ib	1
1.0	0.0	summary	0	51.522753203	ib	2
0.99	0.01	summary	0	8.71109345097	ib	3
1.0	0.0	summary	0	18.5370267086	ib	4
0.01	0.99	summary	0	18.6789657913	ib	5
1.0	0.0	summary	0	27.4708810054	ib	6
1.0	0.0	summary	0	25.396667725	ib	7
0.99	0.01	summary	0	48.4760452787	ib	8
0.01	0.99	summary	0	2.73277701254	ib	9
0.47	0.53	summary	0	7.22055793783	ib	10
0.99	0.01	summary	0	20.6453146436	ib	11
0.01	0.99	summary	0	23.6231667829	ib	12
0.01	0.99	summary	0	20.8711513102	ib	13
0.9	0.1	summary	0	28.5941755947	ib	14
0.99	0.01	summary	0	22.5743930515	ib	15
1.0	0.0	summary	0	3.24322360264	ib	16
0.01	0.99	summary	0	15.4063010655	ib	17
1.0	0.0	summary	0	19.6958079715	ib	18
0.01	0.99	summary	0	21.6161468766	ib	19
1.0	0.0	summary	0	30.9551177494	ib	20
0.01	0.99	summary	0	39.4942105391	ib	21
0.01	0.99	summary	0	12.3891456931	ib	22
1.0	0.0	summary	0	27.1345998512	ib	23
0.99	0.01	summary	0	20.5925569707	ib	24
1.0	0.0	summary	0	4.20354727347	ib	25
0.01	0.99	summary	0	17.0954517492	ib	26
0.99	0.01	summary	0	101.750462688	ib	27
0.81	0.19	summary	0	12.6889340616	ib	28
0.01	0.99	summary	0	21.1136335328	ib	29
1.0	0.0	summary	0	16.9675279595	ib	30
