alpha	beta	ds	gamma	loss	scheme	topic
0.01	0.99	summary	0	17.7075208235	lmj	1
1.0	0.0	summary	0	51.7668386696	lmj	2
0.99	0.01	summary	0	8.71122927863	lmj	3
1.0	0.0	summary	0	18.5372500126	lmj	4
0.01	0.99	summary	0	18.6777235317	lmj	5
1.0	0.0	summary	0	27.2133049112	lmj	6
0.01	0.99	summary	0	25.3874656262	lmj	7
0.99	0.01	summary	0	48.4787807919	lmj	8
0.01	0.99	summary	0	2.73114949451	lmj	9
0.65	0.35	summary	0	7.21637123716	lmj	10
0.99	0.01	summary	0	20.6468887269	lmj	11
0.01	0.99	summary	0	23.6186301622	lmj	12
0.01	0.99	summary	0	20.8734355587	lmj	13
0.84	0.16	summary	0	28.5998987081	lmj	14
0.99	0.01	summary	0	22.5710339702	lmj	15
1.0	0.0	summary	0	3.2410686192	lmj	16
0.01	0.99	summary	0	15.4018057288	lmj	17
0.99	0.01	summary	0	19.6911034821	lmj	18
0.01	0.99	summary	0	21.6102793756	lmj	19
1.0	0.0	summary	0	30.7087749842	lmj	20
0.01	0.99	summary	0	39.2465320841	lmj	21
0.01	0.99	summary	0	12.3882140339	lmj	22
1.0	0.0	summary	0	27.1555906499	lmj	23
0.99	0.01	summary	0	20.5925280069	lmj	24
1.0	0.0	summary	0	3.95403696718	lmj	25
0.01	0.99	summary	0	17.1011392679	lmj	26
0.99	0.01	summary	0	101.748723912	lmj	27
0.78	0.22	summary	0	12.6862761321	lmj	28
0.01	0.99	summary	0	21.1157615233	lmj	29
0.99	0.01	summary	0	16.9584772816	lmj	30
