alpha	beta	ds	gamma	loss	scheme	topic
1.0	0.0	summary	0	18.6718403198	tfidf	1
1.0	0.0	summary	0	51.7517865362	tfidf	2
0.99	0.01	summary	0	8.71238045138	tfidf	3
0.01	0.99	summary	0	18.5688059377	tfidf	4
0.01	0.99	summary	0	17.9198145291	tfidf	5
1.0	0.0	summary	0	26.9151449736	tfidf	6
0.01	0.99	summary	0	25.3296631996	tfidf	7
0.99	0.01	summary	0	48.511801247	tfidf	8
0.01	0.99	summary	0	2.73095497319	tfidf	9
0.01	0.99	summary	0	7.19481680843	tfidf	10
0.99	0.01	summary	0	20.4132498914	tfidf	11
0.01	0.99	summary	0	21.8891536001	tfidf	12
0.01	0.99	summary	0	20.395078377	tfidf	13
0.99	0.01	summary	0	28.1363419666	tfidf	14
0.01	0.99	summary	0	22.5568409754	tfidf	15
1.0	0.0	summary	0	3.48096361232	tfidf	16
0.01	0.99	summary	0	15.6526173578	tfidf	17
0.01	0.99	summary	0	19.6554591271	tfidf	18
0.01	0.99	summary	0	21.613683533	tfidf	19
1.0	0.0	summary	0	31.3324634575	tfidf	20
0.01	0.99	summary	0	38.9924001168	tfidf	21
0.01	0.99	summary	0	12.4029841479	tfidf	22
1.0	0.0	summary	0	26.9051492993	tfidf	23
0.99	0.01	summary	0	20.5924096206	tfidf	24
1.0	0.0	summary	0	4.22685057758	tfidf	25
0.01	0.99	summary	0	17.1372170916	tfidf	26
0.01	0.99	summary	0	101.452334294	tfidf	27
0.01	0.99	summary	0	12.6472547507	tfidf	28
0.01	0.99	summary	0	20.8902317237	tfidf	29
1.0	0.0	summary	0	16.9205042015	tfidf	30
