pmcid,score,pmcid,score,pmcid,score
3670530,0.37277395,3670530,0.37277395,3670530,0.37277395
2926430,0.29433018,2926430,0.29433018,2926430,0.29433018
3027449,0.28567365,3027449,0.28567365,3027449,0.28567365
3047858,0.27963704,3047858,0.27963704,3047858,0.27963704
3170356,0.26732573,3170356,0.26732573,3170356,0.26732573
3184713,0.25706002,3184713,0.25706002,3184713,0.25706002
3030049,0.25317955,3030049,0.25317955,3030049,0.25317955
29021,0.2526584,29021,0.2526584,29021,0.2526584
2803817,0.24302419,2803817,0.24302419,2803817,0.24302419
3403950,0.23201297,3403950,0.23201297,3403950,0.23201297
2881524,0.2308312,2881524,0.2308312,2881524,0.2308312
2691651,0.22773923,2691651,0.22773923,2691651,0.22773923
3040396,0.22759177,3040396,0.22759177,3040396,0.22759177
3654115,0.2259362,3654115,0.2259362,3654115,0.2259362
3004514,0.22401752,3004514,0.22401752,3004514,0.22401752
2667400,0.22229216,2667400,0.22229216,2667400,0.22229216
3290188,0.22028719,3290188,0.22028719,3290188,0.22028719
1450322,0.21791379,1450322,0.21791379,1450322,0.21791379
3025343,0.21561144,3025343,0.21561144,3025343,0.21561144
3863555,0.21429105,3863555,0.21429105,3863555,0.21429105
3741949,0.2123271,3741949,0.2123271,3741949,0.2123271
2740158,0.20973432,2740158,0.20973432,2740158,0.20973432
3466839,0.20904516,3466839,0.20904516,3466839,0.20904516
3483501,0.20846109,3483501,0.20846109,3483501,0.20846109
3390429,0.2036472,3390429,0.2036472,3390429,0.2036472
3785211,0.20088072,3785211,0.20088072,3785211,0.20088072
3301320,0.19992273,3301320,0.19992273,3301320,0.19992273
3318093,0.19614555,3318093,0.19614555,3318093,0.19614555
3232551,0.19514467,3232551,0.19514467,3232551,0.19514467
3420382,0.19487256,3420382,0.19487256,3420382,0.19487256
3232567,0.19136602,3232567,0.19136602,3232567,0.19136602
2396176,0.18929689,2396176,0.18929689,2396176,0.18929689
3482081,0.1880013,3482081,0.1880013,3482081,0.1880013
3152736,0.18733153,3152736,0.18733153,3152736,0.18733153
3232568,0.18620984,3232568,0.18620984,3232568,0.18620984
3617546,0.18561235,3617546,0.18561235,3617546,0.18561235
3302714,0.18472685,3302714,0.18472685,3302714,0.18472685
3299167,0.18354845,3299167,0.18354845,3299167,0.18354845
2827809,0.18299063,2827809,0.18299063,2827809,0.18299063
3562163,0.18292788,3562163,0.18292788,3562163,0.18292788
3232590,0.18229239,3232590,0.18229239,3232590,0.18229239
3049881,0.18194367,3049881,0.18194367,3049881,0.18194367
3373981,0.18144123,3373981,0.18144123,3373981,0.18144123
2628190,0.1810912,2628190,0.1810912,2628190,0.1810912
3809351,0.18065362,3809351,0.18065362,3809351,0.18065362
2633361,0.1794003,2633361,0.1794003,2633361,0.1794003
3652732,0.17934357,3652732,0.17934357,3652732,0.17934357
2922667,0.17780569,2922667,0.17780569,2922667,0.17780569
3423657,0.17667376,3423657,0.17667376,3423657,0.17667376
2911732,0.17642385,2911732,0.17642385,2911732,0.17642385
3347841,0.17593348,3347841,0.17593348,3347841,0.17593348
3227363,0.17558923,3227363,0.17558923,3227363,0.17558923
2740002,0.17507201,2740002,0.17507201,2740002,0.17507201
3596662,0.17501311,3596662,0.17501311,3596662,0.17501311
3601021,0.17399457,3601021,0.17399457,3601021,0.17399457
3674744,0.17039539,3674744,0.17039539,3674744,0.17039539
3599449,0.1700258,3599449,0.1700258,3599449,0.1700258
2607261,0.16978654,2607261,0.16978654,2607261,0.16978654
3582537,0.16850902,3582537,0.16850902,3582537,0.16850902
3546418,0.16710626,3546418,0.16710626,3546418,0.16710626
3277481,0.16688645,3277481,0.16688645,3277481,0.16688645
2687574,0.16664228,2687574,0.16664228,2687574,0.16664228
3032753,0.1666328,3032753,0.1666328,3032753,0.1666328
2806398,0.1665144,2806398,0.1665144,2806398,0.1665144
3557637,0.16617157,3557637,0.16617157,3557637,0.16617157
3264878,0.1657139,3264878,0.1657139,3264878,0.1657139
3560592,0.16414383,3560592,0.16414383,3560592,0.16414383
3097541,0.16397205,3097541,0.16397205,3097541,0.16397205
2678700,0.16205993,2678700,0.16205993,2678700,0.16205993
3550423,0.16163647,3550423,0.16163647,3550423,0.16163647
3249305,0.16134234,3249305,0.16134234,3249305,0.16134234
2491614,0.16106132,2491614,0.16106132,2491614,0.16106132
2651898,0.16096278,2651898,0.16096278,2651898,0.16096278
3530731,0.1608101,3530731,0.1608101,3530731,0.1608101
3161236,0.16073462,3161236,0.16073462,3161236,0.16073462
3510780,0.16008265,3510780,0.16008265,3510780,0.16008265
2811211,0.15954371,2811211,0.15954371,2811211,0.15954371
3085233,0.15945089,3085233,0.15945089,3085233,0.15945089
3333466,0.15902781,3333466,0.15902781,3333466,0.15902781
2744771,0.15869409,2744771,0.15869409,2744771,0.15869409
3047687,0.15823126,3047687,0.15823126,3047687,0.15823126
2893371,0.15777346,2893371,0.15777346,2893371,0.15777346
