pmcid,score,pmcid,score,pmcid,score
2827106,0.31795526,2827106,0.31795526,2827106,0.31795526
2990464,0.31137583,2990464,0.31137583,2990464,0.31137583
3743594,0.307126,3743594,0.307126,3743594,0.307126
3423774,0.28516003,3423774,0.28516003,3423774,0.28516003
3597858,0.27497438,3597858,0.27497438,3597858,0.27497438
3261608,0.27444592,3261608,0.27444592,3261608,0.27444592
3480015,0.274382,3480015,0.274382,3480015,0.274382
3845259,0.2677943,3845259,0.2677943,3845259,0.2677943
2883201,0.26712587,2883201,0.26712587,2883201,0.26712587
3237218,0.2645564,3237218,0.2645564,3237218,0.2645564
3522349,0.26310122,3522349,0.26310122,3522349,0.26310122
2747439,0.26063746,2747439,0.26063746,2747439,0.26063746
2766900,0.25762242,2766900,0.25762242,2766900,0.25762242
3097685,0.2575907,3097685,0.2575907,3097685,0.2575907
3792541,0.2531059,3792541,0.2531059,3792541,0.2531059
3579993,0.25189632,3579993,0.25189632,3579993,0.25189632
3649091,0.24486274,3649091,0.24486274,3649091,0.24486274
2853042,0.24184476,2853042,0.24184476,2853042,0.24184476
3047758,0.2414805,3047758,0.2414805,3047758,0.2414805
3442472,0.23929606,3442472,0.23929606,3442472,0.23929606
3590974,0.2378886,3590974,0.2378886,3590974,0.2378886
3460998,0.2346095,3460998,0.2346095,3460998,0.2346095
2876708,0.23390041,2876708,0.23390041,2876708,0.23390041
3324271,0.23358211,3324271,0.23358211,3324271,0.23358211
201022,0.23220795,201022,0.23220795,201022,0.23220795
3162981,0.23182198,3162981,0.23182198,3162981,0.23182198
2292492,0.23014657,2292492,0.23014657,2292492,0.23014657
3835649,0.23001051,3835649,0.23001051,3835649,0.23001051
3475474,0.22926001,3475474,0.22926001,3475474,0.22926001
2918840,0.22817472,2918840,0.22817472,2918840,0.22817472
3275737,0.22779395,3275737,0.22779395,3275737,0.22779395
3522346,0.2268688,3522346,0.2268688,3522346,0.2268688
3282448,0.22678545,3282448,0.22678545,3282448,0.22678545
1654154,0.22595787,1654154,0.22595787,1654154,0.22595787
3539336,0.22465473,3539336,0.22465473,3539336,0.22465473
3858766,0.22394891,3858766,0.22394891,3858766,0.22394891
3606758,0.22273555,3606758,0.22273555,3606758,0.22273555
3725366,0.22261743,3725366,0.22261743,3725366,0.22261743
3260251,0.22221833,3260251,0.22221833,3260251,0.22221833
3669560,0.22040312,3669560,0.22040312,3669560,0.22040312
3074330,0.21931118,3074330,0.21931118,3074330,0.21931118
3137831,0.21852154,3137831,0.21852154,3137831,0.21852154
3889048,0.21721902,3889048,0.21721902,3889048,0.21721902
3465873,0.21676017,3465873,0.21676017,3465873,0.21676017
2893311,0.2147145,2893311,0.2147145,2893311,0.2147145
3326998,0.21451448,3326998,0.21451448,3326998,0.21451448
3361206,0.2144106,3361206,0.2144106,3361206,0.2144106
2946729,0.21339002,2946729,0.21339002,2946729,0.21339002
3424852,0.21325797,3424852,0.21325797,3424852,0.21325797
2718140,0.21282582,2718140,0.21282582,2718140,0.21282582
3512255,0.21196476,3512255,0.21196476,3512255,0.21196476
3637413,0.2110987,3637413,0.2110987,3637413,0.2110987
3846101,0.21051864,3846101,0.21051864,3846101,0.21051864
3259307,0.21020107,3259307,0.21020107,3259307,0.21020107
3678867,0.2098197,3678867,0.2098197,3678867,0.2098197
3841696,0.20904504,3841696,0.20904504,3841696,0.20904504
3507065,0.20901182,3507065,0.20901182,3507065,0.20901182
3656556,0.20799504,3656556,0.20799504,3656556,0.20799504
2769329,0.20639835,2769329,0.20639835,2769329,0.20639835
3180182,0.20622349,3180182,0.20622349,3180182,0.20622349
3557624,0.2060459,3557624,0.2060459,3557624,0.2060459
2816851,0.20580791,2816851,0.20580791,2816851,0.20580791
3439789,0.20500763,3439789,0.20500763,3439789,0.20500763
3625881,0.20481908,3625881,0.20481908,3625881,0.20481908
2908670,0.20474128,2908670,0.20474128,2908670,0.20474128
2740295,0.2041537,2740295,0.2041537,2740295,0.2041537
3173907,0.20389572,3173907,0.20389572,3173907,0.20389572
3117760,0.20278288,3117760,0.20278288,3117760,0.20278288
