,title,abstract,body
3108768,0.48239753,0.48239753,0.48239753
3852513,0.4508586,0.4508586,0.4508586
3403367,0.44368398,0.44368398,0.44368398
3213680,0.43052658,0.43052658,0.43052658
2813542,0.42258283,0.42258283,0.42258283
3459526,0.4195919,0.4195919,0.4195919
3459530,0.4183689,0.4183689,0.4183689
3764715,0.41467875,0.41467875,0.41467875
2939444,0.4092583,0.4092583,0.4092583
3604619,0.39766684,0.39766684,0.39766684
2275218,0.394768,0.394768,0.394768
3030053,0.39330098,0.39330098,0.39330098
3132663,0.3891597,0.3891597,0.3891597
3719111,0.3827812,0.3827812,0.3827812
3538583,0.3793265,0.3793265,0.3793265
3542938,0.37812853,0.37812853,0.37812853
3351253,0.37749672,0.37749672,0.37749672
3284745,0.3708079,0.3708079,0.3708079
3879014,0.37006715,0.37006715,0.37006715
3827109,0.36631,0.36631,0.36631
3009442,0.363448,0.363448,0.363448
3109785,0.36323884,0.36323884,0.36323884
3219287,0.36196536,0.36196536,0.36196536
3831868,0.36127162,0.36127162,0.36127162
3692160,0.3607721,0.3607721,0.3607721
3759313,0.36073238,0.36073238,0.36073238
3544062,0.3600229,0.3600229,0.3600229
2636832,0.3586899,0.3586899,0.3586899
3714027,0.3586143,0.3586143,0.3586143
2827065,0.35756207,0.35756207,0.35756207
3564814,0.35653833,0.35653833,0.35653833
3671515,0.3552014,0.3552014,0.3552014
3682238,0.35422954,0.35422954,0.35422954
2847727,0.35362652,0.35362652,0.35362652
3457848,0.3530927,0.3530927,0.3530927
3109782,0.35284844,0.35284844,0.35284844
3564025,0.34996325,0.34996325,0.34996325
3590438,0.3462466,0.3462466,0.3462466
3132331,0.34288478,0.34288478,0.34288478
3692151,0.33941853,0.33941853,0.33941853
2672216,0.3390703,0.3390703,0.3390703
2919553,0.33835313,0.33835313,0.33835313
3544070,0.333754,0.333754,0.333754
3669580,0.3329948,0.3329948,0.3329948
3206110,0.33232546,0.33232546,0.33232546
3334801,0.3320852,0.3320852,0.3320852
3744706,0.3317627,0.3317627,0.3317627
1896172,0.32958242,0.32958242,0.32958242
3016252,0.32819903,0.32819903,0.32819903
3568885,0.3279829,0.3279829,0.3279829
3521774,0.32578567,0.32578567,0.32578567
1664556,0.3249011,0.3249011,0.3249011
3310988,0.32434675,0.32434675,0.32434675
3741982,0.32427076,0.32427076,0.32427076
3408508,0.3237686,0.3237686,0.3237686
3099218,0.32334635,0.32334635,0.32334635
3741976,0.32328913,0.32328913,0.32328913
3481392,0.3232569,0.3232569,0.3232569
3544060,0.32139152,0.32139152,0.32139152
3030016,0.32088462,0.32088462,0.32088462
3008954,0.3205101,0.3205101,0.3205101
416478,0.32006243,0.32006243,0.32006243
3745861,0.31975788,0.31975788,0.31975788
3358057,0.31959698,0.31959698,0.31959698
2981765,0.31930622,0.31930622,0.31930622
3733961,0.319177,0.319177,0.319177
3387629,0.3190731,0.3190731,0.3190731
3264875,0.31837493,0.31837493,0.31837493
3398309,0.31678057,0.31678057,0.31678057
2627994,0.31199792,0.31199792,0.31199792
2694628,0.3108962,0.3108962,0.3108962
2829407,0.3095985,0.3095985,0.3095985
3658351,0.30956137,0.30956137,0.30956137
3482082,0.30943844,0.30943844,0.30943844
3381498,0.30827713,0.30827713,0.30827713
3507066,0.30776173,0.30776173,0.30776173
3610459,0.3070709,0.3070709,0.3070709
3567877,0.30616122,0.30616122,0.30616122
2813126,0.30589956,0.30589956,0.30589956
2740114,0.30546623,0.30546623,0.30546623
2246195,0.30536646,0.30536646,0.30536646
3653878,0.30486155,0.30486155,0.30486155
