pmcid	title	abstract	body
3423659	8.728257	0.0	6.4565473
3278424	8.688943	8.990382	8.806465
3766208	0.46968192	0.46968192	0.46968192
2891813	0.4276917	0.4276917	0.4276917
3665683	0.37065122	0.37065122	0.37065122
3224336	0.34139338	0.34139338	0.34139338
3481657	0.33925998	0.33925998	0.33925998
3281795	0.33156985	0.33156985	0.33156985
2823607	0.32682317	0.32682317	0.32682317
3593478	0.32441002	0.32441002	0.32441002
2892520	0.3174284	0.3174284	0.3174284
3656774	0.31565312	0.31565312	0.31565312
3579948	0.30620128	0.30620128	0.30620128
2799431	0.302409	0.302409	0.302409
3618938	0.29068786	0.29068786	0.29068786
3381416	0.28917205	0.28917205	0.28917205
516443	0.28871027	0.28871027	0.28871027
3776740	0.28582767	0.28582767	0.28582767
3453493	0.28516063	0.28516063	0.28516063
3183005	0.28474954	0.28474954	0.28474954
2671445	0.28348905	0.28348905	0.28348905
2840941	0.28252846	0.28252846	0.28252846
2375955	0.27891275	0.27891275	0.27891275
2082038	0.2785093	0.2785093	0.2785093
3375742	0.27823642	0.27823642	0.27823642
3849531	0.27707836	0.27707836	0.27707836
3265282	0.27613544	0.27613544	0.27613544
3877868	0.27395615	0.27395615	0.27395615
3848704	0.27270538	0.27270538	0.27270538
3826618	0.27162647	0.27162647	0.27162647
3751878	0.2706796	0.2706796	0.2706796
149387	0.270034	0.270034	0.270034
2949771	0.26880664	0.26880664	0.26880664
3002144	0.26860815	0.26860815	0.26860815
3271049	0.2684071	0.2684071	0.2684071
3342920	0.2679964	0.2679964	0.2679964
2020466	0.26482248	0.26482248	0.26482248
3748521	0.2647219	0.2647219	0.2647219
3372330	0.2640731	0.2640731	0.2640731
3120730	0.2632052	0.2632052	0.2632052
3395692	0.26303917	0.26303917	9.592765
3123601	0.26290956	0.26290956	0.26290956
3849150	0.26247618	0.26247618	0.26247618
3439710	0.26021993	0.26021993	0.26021993
2865502	0.25949973	0.25949973	10.2794
3810741	0.25892538	0.25892538	0.25892538
2684118	0.2579274	0.2579274	0.2579274
3659284	0.2561586	0.2561586	0.2561586
2799428	0.25502437	0.25502437	0.25502437
2781026	0.25470844	0.25470844	0.25470844
2140183	0.25468546	0.25468546	0.25468546
3830506	0.2541911	0.2541911	0.2541911
3026688	0.254014	0.254014	0.254014
3117262	0.2539752	0.2539752	0.2539752
3507524	0.25352824	0.25352824	8.042066
2000886	0.25352675	0.25352675	0.25352675
2744702	0.2535174	0.2535174	0.2535174
3272855	0.25331172	0.25331172	8.3638315
3161358	0.25256056	0.25256056	0.25256056
3602177	0.25236472	0.25236472	0.25236472
3642015	0.2522246	0.2522246	0.2522246
2702348	0.25206974	0.25206974	0.25206974
3710253	0.2520342	0.2520342	0.2520342
3161917	0.2510307	0.2510307	0.2510307
3874601	0.250765	0.250765	0.250765
2982829	0.25012118	0.25012118	0.25012118
3435125	0.24999398	0.24999398	0.24999398
3118382	0.24968924	0.24968924	0.24968924
3346948	0.24749641	0.24749641	0.24749641
3675062	0.24683717	0.24683717	0.24683717
3175476	0.24631365	0.24631365	0.24631365
3265291	0.24562483	0.24562483	0.24562483
3517748	0.24501759	0.24501759	0.24501759
2653942	0.24447598	0.24447598	0.24447598
3719243	0.24359341	0.24359341	0.24359341
3246692	0.24326895	0.24326895	0.24326895
2600192	0.24312015	0.24312015	0.24312015
2671450	0.24269213	0.24269213	0.24269213
3511849	0.24231495	0.24231495	0.24231495
3120733	0.24092653	0.24092653	8.313028
2570831	0.24071655	0.24071655	0.24071655
2604870	0.24057148	0.24057148	0.24057148
3056796	0.23998837	0.23998837	0.23998837
3702401	0.23944277	0.23944277	0.23944277
3235890	0.2385952	0.2385952	0.2385952
3375727	0.23829143	0.23829143	0.23829143
3558335	0.2370887	0.2370887	0.2370887
3687872	0.23550399	0.23550399	0.23550399
3018393	0.23493396	0.23493396	0.23493396
183856	0.23472287	0.23472287	0.23472287
3415055	0.23407605	0.23407605	0.23407605
2774292	0.23378712	0.23378712	0.23378712
2248298	0.2336955	0.2336955	0.2336955
2169253	0.23300098	0.23300098	0.23300098
1821033	0.23258455	0.23258455	0.23258455
2267805	0.23226044	0.23226044	0.23226044
3684522	0.23196334	0.23196334	0.23196334
3346987	0.23184781	0.23184781	0.23184781
3140529	0.23173644	0.23173644	0.23173644
3836463	0.23153785	0.23153785	0.23153785
3184285	0.23147914	0.23147914	0.23147914
1533839	0.23131233	0.23131233	0.23131233
3350381	0.23104633	0.23104633	0.23104633
3552837	0.2309457	0.2309457	0.2309457
3893441	0.23087479	0.23087479	0.23087479
2972306	0.23081245	0.23081245	0.23081245
1193983	0.23063247	0.23063247	0.23063247
3503789	0.23053835	0.23053835	0.23053835
2216010	0.22995304	0.22995304	0.22995304
3502175	0.22954129	0.22954129	0.22954129
2374889	0.22917576	0.22917576	0.22917576
2604876	0.22900595	0.22900595	0.22900595
3294539	0.22829527	0.22829527	0.22829527
3530431	0.22752622	0.22752622	0.22752622
3750723	0.22715972	0.22715972	0.22715972
3358243	0.22636913	0.22636913	0.22636913
3596341	0.22624066	0.22624066	0.22624066
2774335	0.22549239	0.22549239	0.22549239
3810122	0.22519216	0.22519216	0.22519216
2662423	0.22460948	0.22460948	0.22460948
3375659	0.22447403	0.22447403	0.22447403
2873527	0.22401124	0.22401124	0.22401124
1190209	0.22376472	0.22376472	0.22376472
2248176	0.22352813	0.22352813	0.22352813
2664785	0.22298594	0.22298594	0.22298594
3306380	0.22270563	0.22270563	0.22270563
2671419	0.22261956	0.22261956	0.22261956
2675534	0.22254129	0.22254129	0.22254129
1087872	0.22252744	0.22252744	0.22252744
2910681	0.22213945	0.22213945	0.22213945
3765867	0.22210887	0.22210887	0.22210887
3734097	0.22146839	0.22146839	0.22146839
3626683	0.22135976	0.22135976	7.3447347
3071276	0.22115277	0.22115277	0.22115277
3329036	0.2211045	0.2211045	0.2211045
1891728	0.2209486	0.2209486	0.2209486
3119932	0.2207663	0.2207663	0.2207663
3816780	0.21987067	0.21987067	0.21987067
1851625	0.21976916	0.21976916	0.21976916
3585968	0.21936603	0.21936603	0.21936603
1890276	0.21901639	0.21901639	0.21901639
2779263	0.21828443	0.21828443	0.21828443
3848715	0.21810769	0.21810769	0.21810769
1434477	0.21803227	0.21803227	0.21803227
1187919	0.21763603	0.21763603	0.21763603
3160431	0.21732722	0.21732722	0.21732722
1804270	0.2173014	0.2173014	0.2173014
2845865	0.21645746	0.21645746	0.21645746
2891814	0.21587425	0.21587425	0.21587425
3314185	0.21576077	0.21576077	0.21576077
3849196	0.21563804	0.21563804	0.21563804
3464154	0.21553427	0.21553427	0.21553427
3296639	0.21537063	0.21537063	0.21537063
2442721	0.21524464	0.21524464	0.21524464
3188497	0.21514197	0.21514197	0.21514197
3126754	0.21498114	0.21498114	0.21498114
1553454	0.21463327	0.21463327	0.21463327
3068910	0.21451996	0.21451996	0.21451996
2888569	0.21447934	0.21447934	0.21447934
2723755	0.21412188	0.21412188	0.21412188
3322088	0.21404126	0.21404126	0.21404126
3338396	0.21287936	0.21287936	0.21287936
535531	0.21244223	0.21244223	0.21244223
166171	0.21222651	0.21222651	0.21222651
2821757	0.21200603	0.21200603	0.21200603
1871595	0.2111854	0.2111854	0.2111854
2728505	0.21090746	0.21090746	0.21090746
270697	0.21075065	0.21075065	0.21075065
3268102	0.21050522	0.21050522	0.21050522
3723080	0.21034046	0.21034046	0.21034046
3612321	0.2102984	0.2102984	0.2102984
2453297	0.21025264	0.21025264	0.21025264
3108318	0.21015114	0.21015114	0.21015114
3617122	0.20973428	0.20973428	0.20973428
2806379	0.20883018	9.093198	7.5923486
3407697	0.20879403	0.20879403	0.20879403
3499992	0.20874797	0.20874797	0.20874797
3730184	0.20842879	0.20842879	8.937755
1592150	0.20820206	0.20820206	0.20820206
2600164	0.20817786	0.20817786	0.20817786
1617124	0.20776099	0.20776099	0.20776099
