,title,abstract,body
2884455,0.948185,0.948185,0.948185
3097809,0.6142648,0.6142648,0.6142648
2908674,0.6121695,0.6121695,0.6121695
2588583,0.5603517,0.5603517,0.5603517
3099610,0.54556197,0.54556197,0.54556197
3369119,0.5380294,0.5380294,0.5380294
3430087,0.51418984,0.51418984,0.51418984
2766886,0.5125992,0.5125992,0.5125992
3818784,0.48897576,0.48897576,0.48897576
3215545,0.4840132,0.4840132,0.4840132
3719296,0.46618503,0.46618503,0.46618503
3625880,0.46478814,0.46478814,0.46478814
1198256,0.4645717,0.4645717,0.4645717
3614797,0.45621255,0.45621255,0.45621255
3205660,0.44978955,0.44978955,0.44978955
3361201,0.4465685,0.4465685,0.4465685
3866077,0.4393531,0.4393531,0.4393531
3628456,0.4258266,0.4258266,0.4258266
3780706,0.41665542,0.41665542,0.41665542
2767137,0.40730625,0.40730625,0.40730625
3019596,0.40699604,0.40699604,0.40699604
2766898,0.39840057,0.39840057,0.39840057
3052620,0.39093104,0.39093104,0.39093104
3825977,0.38996077,0.38996077,0.38996077
3014817,0.3819559,0.3819559,0.3819559
3480933,0.38179722,0.38179722,0.38179722
3364650,0.37524357,0.37524357,0.37524357
3424655,0.3675406,0.3675406,0.3675406
3419394,0.36733526,0.36733526,0.36733526
3043563,0.35887876,0.35887876,0.35887876
2963752,0.35337794,0.35337794,0.35337794
3730194,0.35160318,0.35160318,0.35160318
2800936,0.34790406,0.34790406,0.34790406
3662739,0.34654775,0.34654775,0.34654775
3719271,0.3453752,0.3453752,0.3453752
156624,0.34370238,0.34370238,0.34370238
3444845,0.34252885,0.34252885,0.34252885
3825982,0.33868608,0.33868608,0.33868608
3163653,0.33831576,0.33831576,0.33831576
3398080,0.33779857,0.33779857,0.33779857
2693868,0.3377392,0.3377392,0.3377392
3531040,0.3361927,0.3361927,0.3361927
3162982,0.33571315,0.33571315,0.33571315
3787639,0.33282942,0.33282942,0.33282942
3237206,0.3311383,0.3311383,0.3311383
2941598,0.33011487,0.33011487,0.33011487
3415088,0.33001098,0.33001098,0.33001098
3094260,0.32852995,0.32852995,0.32852995
3015801,0.3284799,0.3284799,0.3284799
3180421,0.3266015,0.3266015,0.3266015
2700683,0.32478857,0.32478857,0.32478857
2640409,0.32280448,0.32280448,0.32280448
3015361,0.32097635,0.32097635,0.32097635
2938513,0.32064235,0.32064235,0.32064235
3000417,0.32012203,0.32012203,0.32012203
3283056,0.31802323,0.31802323,0.31802323
3348033,0.31684178,0.31684178,0.31684178
3502786,0.3145851,0.3145851,0.3145851
2672273,0.3143808,0.3143808,0.3143808
3335639,0.31387004,0.31387004,0.31387004
3350117,0.3134303,0.3134303,0.3134303
3749061,0.3124113,0.3124113,0.3124113
3100577,0.31151006,0.31151006,0.31151006
3604837,0.31015533,0.31015533,0.31015533
3596679,0.3088933,0.3088933,0.3088933
3148597,0.30879244,0.30879244,0.30879244
2963121,0.30831635,0.30831635,0.30831635
2726514,0.30740416,0.30740416,0.30740416
3687153,0.30730617,0.30730617,0.30730617
3821232,0.30724642,0.30724642,0.30724642
3848245,0.30714655,0.30714655,0.30714655
3745887,0.3036001,0.3036001,0.3036001
2806401,0.3026436,0.3026436,0.3026436
3261489,0.30182457,0.30182457,0.30182457
3549390,0.29913127,0.29913127,0.29913127
3787631,0.296869,0.296869,0.296869
3733704,0.29600665,0.29600665,0.29600665
3789311,0.29596117,0.29596117,0.29596117
3502812,0.29593784,0.29593784,0.29593784
3519057,0.29578486,0.29578486,0.29578486
3862308,0.29514873,0.29514873,0.29514873
3543180,0.29459655,0.29459655,0.29459655
3539596,0.2941239,0.2941239,0.2941239
3407432,0.29348522,0.29348522,0.29348522
3522359,0.29312894,0.29312894,0.29312894
3728876,0.2921923,0.2921923,0.2921923
3043439,0.2916458,0.2916458,0.2916458
3712208,0.29153562,0.29153562,0.29153562
3097598,0.2907457,0.2907457,0.2907457
3789904,0.28926677,0.28926677,0.28926677
2926674,0.28922898,0.28922898,0.28922898
2975263,0.28856635,0.28856635,0.28856635
3518087,0.2885181,0.2885181,0.2885181
2809077,0.28835094,0.28835094,0.28835094
3136068,0.28536403,0.28536403,0.28536403
2804733,0.2852864,0.2852864,0.2852864
2938501,0.2846069,0.2846069,0.2846069
3043566,0.28342578,0.28342578,0.28342578
2700674,0.28310898,0.28310898,0.28310898
3097761,0.28272057,0.28272057,0.28272057
3634207,0.28164056,0.28164056,0.28164056
2744771,0.2814587,0.2814587,0.2814587
2700241,0.28128493,0.28128493,0.28128493
3139186,0.28104338,0.28104338,0.28104338
2816301,0.27804148,0.27804148,0.27804148
3719309,0.27778977,0.27778977,0.27778977
2804732,0.2770068,0.2770068,0.2770068
459232,0.2766708,0.2766708,0.2766708
3335711,0.27628264,0.27628264,0.27628264
3437081,0.27621764,0.27621764,0.27621764
3493838,0.27513552,0.27513552,0.27513552
2649930,0.27307156,0.27307156,0.27307156
3659468,0.27292192,0.27292192,0.27292192
3531039,0.27187437,0.27187437,0.27187437
3304266,0.2703392,0.2703392,0.2703392
3728878,0.26934743,0.26934743,0.26934743
3030804,0.26775575,0.26775575,0.26775575
2930290,0.26766434,0.26766434,0.26766434
2737786,0.26754975,0.26754975,0.26754975
2990894,0.26697946,0.26697946,0.26697946
3236393,0.26578674,0.26578674,0.26578674
2718206,0.26563784,0.26563784,0.26563784
3298201,0.26545295,0.26545295,0.26545295
3671678,0.26395914,0.26395914,0.26395914
3742155,0.2626224,0.2626224,0.2626224
3747426,0.26238978,0.26238978,0.26238978
3205541,0.2617864,0.2617864,0.2617864
3066713,0.2612648,0.2612648,0.2612648
3507754,0.26114857,0.26114857,0.26114857
2948321,0.26014948,0.26014948,0.26014948
3314562,0.2594206,0.2594206,0.2594206
3097688,0.25923693,0.25923693,0.25923693
3655492,0.25663313,0.25663313,0.25663313
2880140,0.2564697,0.2564697,0.2564697
2971715,0.25620824,0.25620824,0.25620824
3799716,0.25446892,0.25446892,0.25446892
3348525,0.25441042,0.25441042,0.25441042
3016127,0.25351793,0.25351793,0.25351793
3353198,0.25231123,0.25231123,0.25231123
3502792,0.25083706,0.25083706,0.25083706
3783812,0.25043195,0.25043195,0.25043195
3789895,0.25014263,0.25014263,0.25014263
3214491,0.24986698,0.24986698,0.24986698
2700584,0.24911009,0.24911009,0.24911009
3575620,0.24906215,0.24906215,0.24906215
3097770,0.2478546,0.2478546,0.2478546
3653538,0.247461,0.247461,0.247461
3304276,0.24639577,0.24639577,0.24639577
3728865,0.24558114,0.24558114,0.24558114
59895,0.24489313,0.24489313,0.24489313
3041052,0.24331668,0.24331668,0.24331668
3335546,0.24302286,0.24302286,0.24302286
3407435,0.24300328,0.24300328,0.24300328
3539385,0.2419402,0.2419402,0.2419402
2970788,0.24193437,0.24193437,0.24193437
3702243,0.24189807,0.24189807,0.24189807
2726508,0.24182484,0.24182484,0.24182484
3329089,0.24134658,0.24134658,0.24134658
3614675,0.24083665,0.24083665,0.24083665
3649179,0.2406718,0.2406718,0.2406718
3148888,0.23995921,0.23995921,0.23995921
3873172,0.23990507,0.23990507,0.23990507
3310351,0.23987617,0.23987617,0.23987617
3702068,0.23799063,0.23799063,0.23799063
3521816,0.23758242,0.23758242,0.23758242
3299365,0.23642328,0.23642328,0.23642328
2993706,0.23639368,0.23639368,0.23639368
3205779,0.23621286,0.23621286,0.23621286
3818613,0.23618072,0.23618072,0.23618072
3085068,0.23611458,0.23611458,0.23611458
3746308,0.23600233,0.23600233,0.23600233
2970787,0.23531161,0.23531161,0.23531161
3307215,0.23454247,0.23454247,0.23454247
3304256,0.2337959,0.2337959,0.2337959
3629711,0.23367298,0.23367298,0.23367298
3713583,0.23284286,0.23284286,0.23284286
2747450,0.23272559,0.23272559,0.23272559
3535796,0.2324728,0.2324728,0.2324728
3435860,0.2323385,0.2323385,0.2323385
3015447,0.2321506,0.2321506,0.2321506
3016819,0.23170674,0.23170674,0.23170674
2737761,0.22923487,0.22923487,0.22923487
2713849,0.22879986,0.22879986,0.22879986
3259091,0.22723135,0.22723135,0.22723135
3015759,0.22713724,0.22713724,0.22713724
3514797,0.22708306,0.22708306,0.22708306
3225467,0.22681622,0.22681622,0.22681622
3683194,0.22667004,0.22667004,0.22667004
3614378,0.22646035,0.22646035,0.22646035
3852859,0.22595543,0.22595543,0.22595543
3162726,0.22566807,0.22566807,0.22566807
3676995,0.22530398,0.22530398,0.22530398
3156502,0.22478735,0.22478735,0.22478735
3502781,0.22339207,0.22339207,0.22339207
2729468,0.22337788,0.22337788,0.22337788
3472540,0.22311836,0.22311836,0.22311836
3263230,0.2225088,0.2225088,0.2225088
1913924,0.22246414,0.22246414,0.22246414
1934908,0.22188602,0.22188602,0.22188602
3097768,0.22150171,0.22150171,0.22150171
2626783,0.22143935,0.22143935,0.22143935
3556020,0.22126436,0.22126436,0.22126436
3888003,0.22047688,0.22047688,0.22047688
3600265,0.22011906,0.22011906,0.22011906
3618104,0.2200837,0.2200837,0.2200837
3493829,0.2199837,0.2199837,0.2199837
3043456,0.21963012,0.21963012,0.21963012
3073784,0.21956627,0.21956627,0.21956627
3016001,0.21912843,0.21912843,0.21912843
3859019,0.21892588,0.21892588,0.21892588
3409922,0.21849751,0.21849751,0.21849751
3015647,0.21827492,0.21827492,0.21827492
2628006,0.21801527,0.21801527,0.21801527
3016023,0.21791317,0.21791317,0.21791317
3302016,0.21762557,0.21762557,0.21762557
1502130,0.21744637,0.21744637,0.21744637
3088862,0.21712093,0.21712093,0.21712093
3161682,0.21667212,0.21667212,0.21667212
3684085,0.21570732,0.21570732,0.21570732
3866672,0.21554941,0.21554941,0.21554941
3693925,0.21538174,0.21538174,0.21538174
3475944,0.21506317,0.21506317,0.21506317
3409542,0.21468829,0.21468829,0.21468829
3447137,0.21460198,0.21460198,0.21460198
3129104,0.21450202,0.21450202,0.21450202
3699153,0.21445388,0.21445388,0.21445388
3214510,0.21379016,0.21379016,0.21379016
3417704,0.2133125,0.2133125,0.2133125
3690676,0.21297993,0.21297993,0.21297993
2878686,0.21297768,0.21297768,0.21297768
3304281,0.21295713,0.21295713,0.21295713
1475650,0.21291043,0.21291043,0.21291043
3784114,0.21220943,0.21220943,0.21220943
3702062,0.21182676,0.21182676,0.21182676
3150205,0.21159716,0.21159716,0.21159716
3876312,0.21090044,0.21090044,0.21090044
3335484,0.21088526,0.21088526,0.21088526
2726540,0.21081525,0.21081525,0.21081525
1904435,0.21056776,0.21056776,0.21056776
3838404,0.21041146,0.21041146,0.21041146
2098769,0.21037152,0.21037152,0.21037152
1906865,0.21025251,0.21025251,0.21025251
3432328,0.20810348,0.20810348,0.20810348
3170348,0.20809527,0.20809527,0.20809527
3015834,0.2074144,0.2074144,0.2074144
1164436,0.20739873,0.20739873,0.20739873
3217843,0.20727314,0.20727314,0.20727314
3543215,0.2067476,0.2067476,0.2067476
3702061,0.20630983,0.20630983,0.20630983
3639707,0.2060642,0.2060642,0.2060642
1784608,0.20550787,0.20550787,0.20550787
2754658,0.20539261,0.20539261,0.20539261
2921813,0.20446135,0.20446135,0.20446135
2449186,0.20436695,0.20436695,0.20436695
2698057,0.20408642,0.20408642,0.20408642
3335596,0.20404938,0.20404938,0.20404938
3498648,0.20389852,0.20389852,0.20389852
3847484,0.20348832,0.20348832,0.20348832
3399219,0.20283407,0.20283407,0.20283407
2194704,0.20256566,0.20256566,0.20256566
3596056,0.2021451,0.2021451,0.2021451
2137490,0.20170112,0.20170112,0.20170112
2776369,0.2016553,0.2016553,0.2016553
3547807,0.20139475,0.20139475,0.20139475
2311322,0.2012841,0.2012841,0.2012841
2769376,0.20023769,0.20023769,0.20023769
3204688,0.1996125,0.1996125,0.1996125
3304264,0.19958237,0.19958237,0.19958237
1832178,0.19919385,0.19919385,0.19919385
3529443,0.19908626,0.19908626,0.19908626
2769446,0.19893943,0.19893943,0.19893943
3651717,0.19855309,0.19855309,0.19855309
3692029,0.19786417,0.19786417,0.19786417
3814076,0.19779223,0.19779223,0.19779223
3860042,0.197387,0.197387,0.197387
3852762,0.19731261,0.19731261,0.19731261
2778945,0.19716516,0.19716516,0.19716516
3424659,0.19687368,0.19687368,0.19687368
3881498,0.1965447,0.1965447,0.1965447
3719360,0.19647218,0.19647218,0.19647218
2698209,0.19642584,0.19642584,0.19642584
3151380,0.1962065,0.1962065,0.1962065
2920571,0.1960316,0.1960316,0.1960316
3347651,0.19600356,0.19600356,0.19600356
3304289,0.19550237,0.19550237,0.19550237
3295574,0.19507997,0.19507997,0.19507997
2724421,0.19500126,0.19500126,0.19500126
2642857,0.19478446,0.19478446,0.19478446
3015423,0.19439505,0.19439505,0.19439505
3001446,0.19426145,0.19426145,0.19426145
3015288,0.19409078,0.19409078,0.19409078
2740156,0.1938094,0.1938094,0.1938094
3111156,0.19378145,0.19378145,0.19378145
3015323,0.1936834,0.1936834,0.1936834
3679720,0.19367966,0.19367966,0.19367966
3783665,0.19362767,0.19362767,0.19362767
3880742,0.19340882,0.19340882,0.19340882
3809165,0.1933885,0.1933885,0.1933885
3304262,0.19306856,0.19306856,0.19306856
3699154,0.19293968,0.19293968,0.19293968
3336921,0.19289091,0.19289091,0.19289091
3411456,0.19285893,0.19285893,0.19285893
2823093,0.19244131,0.19244131,0.19244131
3350022,0.19237821,0.19237821,0.19237821
3376497,0.19211234,0.19211234,0.19211234
2693837,0.19107527,0.19107527,0.19107527
3850663,0.19102624,0.19102624,0.19102624
3880005,0.19078444,0.19078444,0.19078444
2801018,0.19050266,0.19050266,0.19050266
2740122,0.1897359,0.1897359,0.1897359
3789894,0.18968365,0.18968365,0.18968365
3015398,0.18898307,0.18898307,0.18898307
3784095,0.18859248,0.18859248,0.18859248
2729904,0.1882692,0.1882692,0.1882692
3350450,0.18677227,0.18677227,0.18677227
2323013,0.18668114,0.18668114,0.18668114
3569108,0.18640782,0.18640782,0.18640782
2886082,0.18637545,0.18637545,0.18637545
2718201,0.18601023,0.18601023,0.18601023
2862322,0.18521772,0.18521772,0.18521772
3304263,0.1851333,0.1851333,0.1851333
3015692,0.18501267,0.18501267,0.18501267
3760260,0.18466552,0.18466552,0.18466552
2820289,0.18461397,0.18461397,0.18461397
3135046,0.18412343,0.18412343,0.18412343
3864172,0.18407379,0.18407379,0.18407379
3443647,0.18404238,0.18404238,0.18404238
3021277,0.18343575,0.18343575,0.18343575
3385165,0.1827084,0.1827084,0.1827084
3829784,0.1825687,0.1825687,0.1825687
2936924,0.18230158,0.18230158,0.18230158
3003679,0.18226284,0.18226284,0.18226284
3427037,0.18183321,0.18183321,0.18183321
3698897,0.18171042,0.18171042,0.18171042
2672247,0.18133055,0.18133055,0.18133055
3021339,0.1812912,0.1812912,0.1812912
3340954,0.18126826,0.18126826,0.18126826
140039,0.18116732,0.18116732,0.18116732
3785158,0.18059437,0.18059437,0.18059437
3556838,0.18025087,0.18025087,0.18025087
3015487,0.18022753,0.18022753,0.18022753
3677018,0.17985193,0.17985193,0.17985193
3783711,0.17952152,0.17952152,0.17952152
3734720,0.17915395,0.17915395,0.17915395
3804365,0.17915086,0.17915086,0.17915086
3407625,0.17911331,0.17911331,0.17911331
3134918,0.17861208,0.17861208,0.17861208
2630042,0.17846227,0.17846227,0.17846227
2791734,0.17801777,0.17801777,0.17801777
3751251,0.17797396,0.17797396,0.17797396
2655295,0.17792058,0.17792058,0.17792058
3005218,0.17745748,0.17745748,0.17745748
