pmcid,score,pmcid,score,pmcid,score
3638550,8.723519,3366313,6.304794,2799065,7.6080513
3733882,8.30914,3721928,6.1738896,3353641,7.2825565
3695314,8.062223,3507817,6.1275277,3806786,6.851585
1791015,7.8180013,3764891,6.067193,3663812,6.7793555
2844943,7.7906785,3320097,6.0460777,3524713,6.7769427
3109342,7.6980805,2903665,6.042041,2799006,6.745727
3650976,7.6822915,3891987,5.992894,3681391,6.7441955
3871835,7.5934453,3667449,5.949661,2228297,6.741373
1190204,7.588604,3704968,5.9395914,3320097,6.738276
3443647,7.4875274,3706267,5.9293346,3772336,6.7381186
3371413,7.478063,1236944,5.8935385,3479064,6.724038
2978117,7.472443,3822024,5.872646,3119933,6.6800256
1236944,7.464708,3808082,5.8465977,2424031,6.622515
3465864,7.4517636,3015647,5.8312273,3278106,6.6155157
3741331,7.31955,2763746,5.8044224,3182911,6.615501
3306744,7.248118,3641369,5.7712917,3862842,6.6134977
2266746,7.2022333,2628084,5.7610226,3871835,6.6039643
3294359,7.1844068,3276929,5.7505198,1779399,6.580372
3446808,7.1452327,3479064,5.740363,2799007,6.5690413
2777409,7.1343927,3661041,5.7235594,3086162,6.5400066
2565735,6.955225,2770478,5.7214017,2888745,6.504897
522841,6.953015,3104441,5.7207446,3667449,6.4782286
3621103,6.9464884,3417531,5.671822,3507817,6.4739966
3740777,6.9413576,3638550,5.6680007,1190204,6.4679704
3626912,6.940657,2040193,5.653815,3808082,6.4575057
3474171,6.9374285,3223151,5.6371803,3804373,6.45685
3094252,6.7864423,3633335,5.621653,2794498,6.4431334
2612756,6.756341,3167136,5.6199174,3080564,6.4019265
3598869,6.7118807,2910499,5.611403,3095265,6.3995767
3014884,6.709046,3695314,5.6066995,1804104,6.395162
3746139,6.706542,3790246,5.5810685,3652761,6.3938613
3771482,6.578246,2881949,5.5710998,2764049,6.3622537
3401756,6.4786563,3655304,5.5561996,2048992,6.3538156
3343292,6.4532185,3279364,5.5369334,3834870,6.3359284
2912830,6.419256,3103668,5.5356703,3800409,6.332398
3401934,6.3949947,3278106,5.497823,3619700,6.326333
3023739,6.3120112,1936417,5.491458,3605968,6.3241506
3686659,6.3095045,3443647,5.4730234,2731720,6.310542
