pmcid,score,pmcid,score,pmcid,score
3622346,0.46208763,3622346,0.46208763,3622346,0.46208763
3335656,0.39649525,3335656,0.39649525,3335656,0.39649525
3488388,0.35056815,3488388,0.35056815,3488388,0.35056815
2169208,0.34744203,2169208,0.34744203,2169208,0.34744203
2804036,0.3445767,2804036,0.3445767,2804036,0.3445767
2823093,0.33609673,2823093,0.33609673,2823093,0.33609673
3384962,0.3267351,3384962,0.3267351,3384962,0.3267351
2745147,0.3247778,2745147,0.3247778,2745147,0.3247778
2958974,0.3245833,2958974,0.3245833,2958974,0.3245833
3409401,0.31774434,3409401,0.31774434,3409401,0.31774434
3320293,0.31496903,3320293,0.31496903,3320293,0.31496903
3424868,0.31322268,3424868,0.31322268,3424868,0.31322268
2536182,0.3121031,2536182,0.3121031,2536182,0.3121031
3236138,0.30749106,3236138,0.30749106,3236138,0.30749106
3100118,0.30529788,3100118,0.30529788,3100118,0.30529788
3543541,0.30410433,3543541,0.30410433,3543541,0.30410433
2950136,0.30277985,2950136,0.30277985,2950136,0.30277985
3485486,0.2987995,3485486,0.2987995,3485486,0.2987995
3555573,0.29484642,3555573,0.29484642,3555573,0.29484642
3732623,0.29362297,3732623,0.29362297,3732623,0.29362297
3266655,0.28743875,3266655,0.28743875,3266655,0.28743875
3773459,0.28543487,3773459,0.28543487,3773459,0.28543487
3656703,0.28451386,3656703,0.28451386,3656703,0.28451386
3387584,0.28386456,3387584,0.28386456,3387584,0.28386456
2637917,0.2784748,2637917,0.2784748,2637917,0.2784748
2868877,0.27817124,2868877,0.27817124,2868877,0.27817124
1479389,0.27804944,1479389,0.27804944,1479389,0.27804944
3379929,0.27796134,3379929,0.27796134,3379929,0.27796134
3519017,0.2776513,3519017,0.2776513,3519017,0.2776513
3336229,0.276497,3336229,0.276497,3336229,0.276497
2989737,0.27634642,2989737,0.27634642,2989737,0.27634642
3629711,0.27581248,3629711,0.27581248,3629711,0.27581248
3492078,0.27505955,3492078,0.27505955,3492078,0.27505955
3535729,0.2740307,3535729,0.2740307,3535729,0.2740307
3080571,0.27290747,3080571,0.27290747,3080571,0.27290747
2778448,0.27159292,2778448,0.27159292,2778448,0.27159292
3655452,0.27044973,3655452,0.27044973,3655452,0.27044973
2803987,0.26749924,2803987,0.26749924,2803987,0.26749924
3114546,0.2674822,3114546,0.2674822,3114546,0.2674822
2840827,0.2657296,2840827,0.2657296,2840827,0.2657296
2906941,0.26412103,2906941,0.26412103,2906941,0.26412103
3032179,0.2639557,3032179,0.2639557,3032179,0.2639557
3596900,0.26332423,3596900,0.26332423,3596900,0.26332423
3792511,0.2629376,3792511,0.2629376,3792511,0.2629376
2841744,0.26236728,2841744,0.26236728,2841744,0.26236728
2951541,0.26132247,2951541,0.26132247,2951541,0.26132247
2884340,0.25784543,2884340,0.25784543,2884340,0.25784543
3420703,0.25695705,3420703,0.25695705,3420703,0.25695705
2990903,0.25637034,2990903,0.25637034,2990903,0.25637034
3867333,0.25629765,3867333,0.25629765,3867333,0.25629765
2621130,0.25624746,2621130,0.25624746,2621130,0.25624746
3487017,0.25405687,3487017,0.25405687,3487017,0.25405687
2612756,0.2532132,2612756,0.2532132,2612756,0.2532132
2848143,0.25133437,2848143,0.25133437,2848143,0.25133437
3779421,0.24795848,3779421,0.24795848,3779421,0.24795848
3039003,0.24738598,3039003,0.24738598,3039003,0.24738598
3181876,0.24729505,3181876,0.24729505,3181876,0.24729505
3148888,0.24726966,3148888,0.24726966,3148888,0.24726966
2615269,0.2467315,2615269,0.2467315,2615269,0.2467315
3638505,0.24452561,3638505,0.24452561,3638505,0.24452561
3649302,0.24384154,3649302,0.24384154,3649302,0.24384154
2647170,0.24332696,2647170,0.24332696,2647170,0.24332696
3120183,0.24323486,3120183,0.24323486,3120183,0.24323486
2754658,0.24314298,2754658,0.24314298,2754658,0.24314298
2675011,0.24308696,2675011,0.24308696,2675011,0.24308696
2700440,0.24282348,2700440,0.24282348,2700440,0.24282348
3564105,0.24261987,3564105,0.24261987,3564105,0.24261987
3806430,0.2421881,3806430,0.2421881,3806430,0.2421881
3335558,0.24217616,3335558,0.24217616,3335558,0.24217616
3335556,0.24214172,3335556,0.24214172,3335556,0.24214172
3793431,0.23942694,3793431,0.23942694,3793431,0.23942694
2810605,0.23879905,2810605,0.23879905,2810605,0.23879905
2363727,0.2378325,2363727,0.2378325,2363727,0.2378325
2806397,0.23740707,2806397,0.23740707,2806397,0.23740707
2924860,0.23722172,2924860,0.23722172,2924860,0.23722172
3449190,0.2371591,3449190,0.2371591,3449190,0.2371591
3324503,0.2360134,3324503,0.2360134,3324503,0.2360134
2760696,0.23586999,2760696,0.23586999,2760696,0.23586999
3646790,0.23521084,3646790,0.23521084,3646790,0.23521084
2746232,0.23464103,2746232,0.23464103,2746232,0.23464103
3592941,0.23313507,3592941,0.23313507,3592941,0.23313507
2740013,0.23296632,2740013,0.23296632,2740013,0.23296632
1474397,0.23177297,1474397,0.23177297,1474397,0.23177297
3248865,0.23173137,3248865,0.23173137,3248865,0.23173137
3530850,0.2314653,3530850,0.2314653,3530850,0.2314653
3719282,0.23021379,3719282,0.23021379,3719282,0.23021379
3615918,0.2296317,3615918,0.2296317,3615918,0.2296317
3214451,0.22957088,3214451,0.22957088,3214451,0.22957088
3678789,0.22833616,3678789,0.22833616,3678789,0.22833616
3420636,0.22803363,3420636,0.22803363,3420636,0.22803363
2749044,0.2278736,2749044,0.2278736,2749044,0.2278736
3271399,0.2276763,3271399,0.2276763,3271399,0.2276763
3095901,0.22763143,3095901,0.22763143,3095901,0.22763143
3710144,0.22755332,3710144,0.22755332,3710144,0.22755332
3114308,0.22740798,3114308,0.22740798,3114308,0.22740798
3174928,0.2272982,3174928,0.2272982,3174928,0.2272982
3056330,0.22720924,3056330,0.22720924,3056330,0.22720924
2827085,0.22676891,2827085,0.22676891,2827085,0.22676891
3322896,0.22668101,3322896,0.22668101,3322896,0.22668101
3444913,0.22603379,3444913,0.22603379,3444913,0.22603379
2675175,0.22590616,2675175,0.22590616,2675175,0.22590616
2700429,0.22563182,2700429,0.22563182,2700429,0.22563182
3424871,0.2254682,3424871,0.2254682,3424871,0.2254682
3133515,0.22511892,3133515,0.22511892,3133515,0.22511892
2364577,0.22486721,2364577,0.22486721,2364577,0.22486721
3611086,0.22457734,3611086,0.22457734,3611086,0.22457734
3677011,0.22374098,3677011,0.22374098,3677011,0.22374098
3619046,0.2233747,3619046,0.2233747,3619046,0.2233747
3339806,0.2212128,3339806,0.2212128,3339806,0.2212128
3638550,0.22117426,3638550,0.22117426,3638550,0.22117426
3299121,0.22116856,3299121,0.22116856,3299121,0.22116856
3159262,0.22097264,3159262,0.22097264,3159262,0.22097264
2543003,0.2190189,2543003,0.2190189,2543003,0.2190189
3466900,0.2177578,3466900,0.2177578,3466900,0.2177578
2375864,0.21753585,2375864,0.21753585,2375864,0.21753585
3700969,0.21704751,3700969,0.21704751,3700969,0.21704751
2894487,0.2152648,2894487,0.2152648,2894487,0.2152648
2769390,0.21493125,2769390,0.21493125,2769390,0.21493125
2817864,0.2148993,2817864,0.2148993,2817864,0.2148993
3350022,0.21473953,3350022,0.21473953,3350022,0.21473953
1804104,0.21460836,1804104,0.21460836,1804104,0.21460836
3040077,0.21447058,3040077,0.21447058,3040077,0.21447058
3572972,0.21347651,3572972,0.21347651,3572972,0.21347651
3622306,0.21243028,3622306,0.21243028,3622306,0.21243028
2923424,0.21210447,2923424,0.21210447,2923424,0.21210447
2957859,0.2120179,2957859,0.2120179,2957859,0.2120179
2769286,0.21110025,2769286,0.21110025,2769286,0.21110025
2672273,0.21105146,2672273,0.21105146,2672273,0.21105146
3180395,0.21080823,3180395,0.21080823,3180395,0.21080823
1065003,0.21002005,1065003,0.21002005,1065003,0.21002005
2738416,0.2099212,2738416,0.2099212,2738416,0.2099212
3502773,0.20806901,3502773,0.20806901,3502773,0.20806901
3601021,0.20805877,3601021,0.20805877,3601021,0.20805877
2997975,0.20778154,2997975,0.20778154,2997975,0.20778154
3713995,0.20758401,3713995,0.20758401,3713995,0.20758401
2700584,0.20741746,2700584,0.20741746,2700584,0.20741746
3259378,0.20729893,3259378,0.20729893,3259378,0.20729893
3335608,0.20632277,3335608,0.20632277,3335608,0.20632277
2824638,0.20619722,2824638,0.20619722,2824638,0.20619722
3678467,0.20581688,3678467,0.20581688,3678467,0.20581688
3161003,0.20551091,3161003,0.20551091,3161003,0.20551091
3441877,0.20543437,3441877,0.20543437,3441877,0.20543437
3573361,0.20520015,3573361,0.20520015,3573361,0.20520015
3881380,0.20512028,3881380,0.20512028,3881380,0.20512028
3466862,0.20492941,3466862,0.20492941,3466862,0.20492941
3295699,0.20482647,3295699,0.20482647,3295699,0.20482647
2909175,0.20366113,2909175,0.20366113,2909175,0.20366113
1784620,0.203114,1784620,0.203114,1784620,0.203114
3407612,0.20286357,3407612,0.20286357,3407612,0.20286357
3685359,0.2027751,3685359,0.2027751,3685359,0.2027751
2938501,0.20250916,2938501,0.20250916,2938501,0.20250916
2987927,0.20146474,2987927,0.20146474,2987927,0.20146474
3612759,0.20142294,3612759,0.20142294,3612759,0.20142294
3198636,0.20128912,3198636,0.20128912,3198636,0.20128912
2946729,0.2011402,2946729,0.2011402,2946729,0.2011402
3420649,0.20090744,3420649,0.20090744,3420649,0.20090744
3592785,0.20080326,3592785,0.20080326,3592785,0.20080326
2904793,0.20064928,2904793,0.20064928,2904793,0.20064928
3340991,0.20043728,3340991,0.20043728,3340991,0.20043728
2716679,0.20037861,2716679,0.20037861,2716679,0.20037861
3533691,0.20023997,3533691,0.20023997,3533691,0.20023997
2783080,0.19950917,2783080,0.19950917,2783080,0.19950917
3114601,0.19900459,3114601,0.19900459,3114601,0.19900459
3053557,0.19821288,3053557,0.19821288,3053557,0.19821288
2740255,0.19820578,2740255,0.19820578,2740255,0.19820578
1592154,0.19789265,1592154,0.19789265,1592154,0.19789265
1283982,0.19781588,1283982,0.19781588,1283982,0.19781588
3833555,0.1972192,3833555,0.1972192,3833555,0.1972192
2945326,0.19715121,2945326,0.19715121,2945326,0.19715121
3759689,0.19672284,3759689,0.19672284,3759689,0.19672284
3261489,0.19667795,3261489,0.19667795,3261489,0.19667795
3133999,0.19646287,3133999,0.19646287,3133999,0.19646287
3420620,0.19620283,3420620,0.19620283,3420620,0.19620283
3378931,0.1958427,3378931,0.1958427,3378931,0.1958427
3741471,0.19513234,3741471,0.19513234,3741471,0.19513234
3075148,0.19493093,3075148,0.19493093,3075148,0.19493093
3612316,0.19483611,3612316,0.19483611,3612316,0.19483611
3336243,0.19391964,3336243,0.19391964,3336243,0.19391964
3503786,0.19366607,3503786,0.19366607,3503786,0.19366607
3459517,0.19350214,3459517,0.19350214,3459517,0.19350214
3716905,0.19312134,3716905,0.19312134,3716905,0.19312134
