pmcid,score,pmcid,score,pmcid,score
3546453,0.33062547,3546453,0.33062547,3546453,0.33062547
3403367,0.31584346,3403367,0.31584346,3403367,0.31584346
3542938,0.26233298,3542938,0.26233298,3542938,0.26233298
2687656,0.25872394,2687656,0.25872394,2687656,0.25872394
3439936,0.25468555,3439936,0.25468555,3439936,0.25468555
3808756,0.24782231,3808756,0.24782231,3808756,0.24782231
3863508,0.21822806,3863508,0.21822806,3863508,0.21822806
1375236,0.21674414,1375236,0.21674414,1375236,0.21674414
3671282,0.21643569,3671282,0.21643569,3671282,0.21643569
3420510,0.20453855,3420510,0.20453855,3420510,0.20453855
3262532,0.2025683,3262532,0.2025683,3262532,0.2025683
3532807,0.1959654,3532807,0.1959654,3532807,0.1959654
2740114,0.19508134,2740114,0.19508134,2740114,0.19508134
2987328,0.1918646,2987328,0.1918646,2987328,0.1918646
3194612,0.18868981,3194612,0.18868981,3194612,0.18868981
3564269,0.18832086,3564269,0.18832086,3564269,0.18832086
2390549,0.1880323,2390549,0.1880323,2390549,0.1880323
1397847,0.18775654,1397847,0.18775654,1397847,0.18775654
1459118,0.1867386,1459118,0.1867386,1459118,0.1867386
1896172,0.18648812,1896172,0.18648812,1896172,0.18648812
2518148,0.18618594,2518148,0.18618594,2518148,0.18618594
2738311,0.18437403,2738311,0.18437403,2738311,0.18437403
3866685,0.18404803,3866685,0.18404803,3866685,0.18404803
2901610,0.18382707,2901610,0.18382707,2901610,0.18382707
2174495,0.1818693,2174495,0.1818693,2174495,0.1818693
2929636,0.18088324,2929636,0.18088324,2929636,0.18088324
3834698,0.18037006,3834698,0.18037006,3834698,0.18037006
3764715,0.18012229,3764715,0.18012229,3764715,0.18012229
3420763,0.17971013,3420763,0.17971013,3420763,0.17971013
3279511,0.17925091,3279511,0.17925091,3279511,0.17925091
2650979,0.1771155,2650979,0.1771155,2650979,0.1771155
2966984,0.1753243,2966984,0.1753243,2966984,0.1753243
3571903,0.17497437,3571903,0.17497437,3571903,0.17497437
3459526,0.17495929,3459526,0.17495929,3459526,0.17495929
2613409,0.1747887,2613409,0.1747887,2613409,0.1747887
3800390,0.17461285,3800390,0.17461285,3800390,0.17461285
3551686,0.17325316,3551686,0.17325316,3551686,0.17325316
2474584,0.17083752,2474584,0.17083752,2474584,0.17083752
2930659,0.17076239,2930659,0.17076239,2930659,0.17076239
3045886,0.16870725,3045886,0.16870725,3045886,0.16870725
3544062,0.1683336,3544062,0.1683336,3544062,0.1683336
2829599,0.16800141,2829599,0.16800141,2829599,0.16800141
3808267,0.16787826,3808267,0.16787826,3808267,0.16787826
3644260,0.16758406,3644260,0.16758406,3644260,0.16758406
3879014,0.16752091,3879014,0.16752091,3879014,0.16752091
3193674,0.16750425,3193674,0.16750425,3193674,0.16750425
476739,0.16746743,476739,0.16746743,476739,0.16746743
2211766,0.16705446,2211766,0.16705446,2211766,0.16705446
2874920,0.16669546,2874920,0.16669546,2874920,0.16669546
3640983,0.16549751,3640983,0.16549751,3640983,0.16549751
3853164,0.16506596,3853164,0.16506596,3853164,0.16506596
3544059,0.1645171,3544059,0.1645171,3544059,0.1645171
2936411,0.1641805,2936411,0.1641805,2936411,0.1641805
3446146,0.16368085,3446146,0.16368085,3446146,0.16368085
3322349,0.16332766,3322349,0.16332766,3322349,0.16332766
3221223,0.1609741,3221223,0.1609741,3221223,0.1609741
3827830,0.15896761,3827830,0.15896761,3827830,0.15896761
3163221,0.15891786,3163221,0.15891786,3163221,0.15891786
3880734,0.1582483,3880734,0.1582483,3880734,0.1582483
3120985,0.15671161,3120985,0.15671161,3120985,0.15671161
3548373,0.15610673,3548373,0.15610673,3548373,0.15610673
3263063,0.15565713,3263063,0.15565713,3263063,0.15565713
3019058,0.15456198,3019058,0.15456198,3019058,0.15456198
