pmcid,score,pmcid,score,pmcid,score
3531257,0.15323593,3531257,0.15323593,3531257,0.15323593
2785826,0.14427233,2785826,0.14427233,2785826,0.14427233
3880166,0.14180443,3880166,0.14180443,3880166,0.14180443
2363236,0.14171846,2363236,0.14171846,2363236,0.14171846
3700241,0.14054328,3700241,0.14054328,3700241,0.14054328
2912127,0.13948631,2912127,0.13948631,2912127,0.13948631
3480172,0.13764392,3480172,0.13764392,3480172,0.13764392
2732267,0.13752365,2732267,0.13752365,2732267,0.13752365
2678120,0.13164477,2678120,0.13164477,2678120,0.13164477
3371985,0.1311799,3371985,0.1311799,3371985,0.1311799
3832642,0.1280045,3832642,0.1280045,3832642,0.1280045
3785345,0.12794152,3785345,0.12794152,3785345,0.12794152
3271214,0.12738423,3271214,0.12738423,3271214,0.12738423
2693554,0.12727802,2693554,0.12727802,2693554,0.12727802
1440864,0.12488497,1440864,0.12488497,1440864,0.12488497
3649159,0.12403889,3649159,0.12403889,3649159,0.12403889
2644609,0.123969726,2644609,0.123969726,2644609,0.123969726
2771838,0.12154132,2771838,0.12154132,2771838,0.12154132
3717067,0.121330716,3717067,0.121330716,3717067,0.121330716
1318457,0.120660186,1318457,0.120660186,1318457,0.120660186
3694111,0.1202879,3694111,0.1202879,3694111,0.1202879
3082828,0.12020273,3082828,0.12020273,3082828,0.12020273
2693508,0.120111845,2693508,0.120111845,2693508,0.120111845
2908644,0.11980261,2908644,0.11980261,2908644,0.11980261
2879845,0.119119905,2879845,0.119119905,2879845,0.119119905
3672507,0.118977144,3672507,0.118977144,3672507,0.118977144
3369420,0.11814325,3369420,0.11814325,3369420,0.11814325
2845931,0.117470704,2845931,0.117470704,2845931,0.117470704
3034940,0.11680684,3034940,0.11680684,3034940,0.11680684
3765937,0.11601187,3765937,0.11601187,3765937,0.11601187
1890567,0.11594098,1890567,0.11594098,1890567,0.11594098
2814195,0.11538852,2814195,0.11538852,2814195,0.11538852
3418340,0.113512315,3418340,0.113512315,3418340,0.113512315
3480136,0.11319799,3480136,0.11319799,3480136,0.11319799
2699708,0.11279782,2699708,0.11279782,2699708,0.11279782
3724576,0.11267402,3724576,0.11267402,3724576,0.11267402
3480049,0.11201784,3480049,0.11201784,3480049,0.11201784
3503952,0.11180148,3503952,0.11180148,3503952,0.11180148
3759770,0.111536965,3759770,0.111536965,3759770,0.111536965
2740048,0.11153607,2740048,0.11153607,2740048,0.11153607
3791957,0.11130939,3791957,0.11130939,3791957,0.11130939
