pmcid	title	abstract	body	relevancy
3170124	9.236532	5.1064425	3.4719603	0
1769396	7.3848805	5.030132	3.2501998	0
2769390	6.787088	4.157998	2.68533	0
3087163	6.703228	3.9484012	2.3864768	1
2045659	6.598809	4.1207147	2.5159245	0
3148997	6.579221	3.960379	2.7387214	0
3036638	6.572809	3.4335275	2.4148104	1
2767145	6.3893013	0.16158171	0.0	0
3058023	6.229454	3.5227783	2.3734236	0
3147136	6.2171116	3.9199898	2.4934838	0
2803848	6.1904783	0.22027801	2.720598	1
2769272	6.184259	0.16726048	0.16726048	0
2741488	5.8201113	3.0296392	1.9631497	0
3170346	5.631368	3.2021072	2.1504264	0
2631053	5.564063	3.3548586	2.1413772	1
3704649	5.5484376	2.9458456	0.0	0
2767133	5.367504	3.250417	2.1278503	1
3575421	5.3617387	0.0	1.8984159	0
2737768	5.1278167	3.1179862	2.0690122	0
3884116	4.7971773	2.8048933	1.928356	0
2125381	4.4016848	2.3461087	0.0	0
1036642	0.71877456	0.0	0.0	0
3804998	0.35433504	0.35433504	0.35433504	0
3289835	0.35052118	0.35052118	0.35052118	0
2843635	0.3433715	0.3433715	0.3433715	0
3698044	0.34312904	0.34312904	0.34312904	0
3560765	0.33167097	0.33167097	3.3621285	0
3524703	0.3246843	0.3246843	3.3067946	0
3439340	0.32441676	0.32441676	0.32441676	0
2686635	0.3215012	0.3215012	3.1884065	0
2600818	0.32057238	0.32057238	0.32057238	0
3100218	0.31999373	0.31999373	0.31999373	0
3686329	0.3184038	0.3184038	0.3184038	0
3395946	0.3166614	0.3166614	0.3166614	0
3706726	0.3159042	0.3159042	3.2239215	0
3485580	0.3114541	0.3114541	2.844209	0
3213209	0.30975682	0.30975682	0.30975682	0
2920084	0.30740926	0.30740926	0.30740926	0
3829860	0.3069399	0.3069399	3.1416922	0
3430891	0.30645818	0.30645818	0.30645818	0
2672393	0.30627918	0.30627918	0.30627918	0
2994656	0.3058154	0.3058154	0.3058154	2
3046346	0.305618	0.305618	3.378509	0
3189692	0.30390683	0.30390683	2.8294668	0
3182010	0.29715812	0.29715812	3.1710799	0
3573524	0.29658943	0.29658943	0.29658943	0
3305484	0.29631793	0.29631793	0.29631793	0
3597910	0.29514495	0.29514495	0.29514495	0
3781199	0.29451087	0.29451087	0.29451087	0
2762184	0.29402107	0.29402107	0.29402107	0
3475301	0.29388827	0.29388827	3.715783	0
3804992	0.2922981	0.2922981	0.2922981	0
3400886	0.2914133	0.2914133	0.2914133	1
3653220	0.29017228	0.29017228	0.29017228	0
3534010	0.29003105	0.29003105	0.29003105	0
3879583	0.28995904	0.28995904	0.28995904	0
3548361	0.28848258	0.28848258	0.28848258	1
2834574	0.28621075	0.28621075	0.28621075	0
3406221	0.2817238	0.2817238	0.2817238	0
2984268	0.28056592	0.28056592	0.28056592	1
3423950	0.2803905	0.2803905	0.2803905	0
3060997	0.28005219	0.28005219	0.28005219	0
481084	0.2796615	0.2796615	3.107359	0
3284874	0.27761006	0.27761006	0.27761006	0
3526878	0.27281943	0.27281943	0.27281943	0
2796066	0.26898474	0.26898474	0.26898474	0
3560522	0.26889333	0.26889333	2.9424286	0
3513220	0.26791427	0.26791427	0.26791427	0
3402108	0.26742727	0.26742727	3.5910852	0
3097155	0.26602572	0.26602572	0.26602572	0
3470296	0.26589927	0.26589927	0.26589927	0
3488421	0.26545867	0.26545867	2.9923666	0
1364522	0.26535538	0.26535538	0.26535538	0
3115304	0.26419738	0.26419738	2.2746947	0
2605766	0.26355195	0.26355195	3.0648866	0
3843310	0.26353022	0.26353022	0.26353022	0
2984544	0.26309037	0.26309037	0.26309037	0
3298461	0.2630404	0.2630404	0.2630404	0
2329664	0.26182747	4.3653398	2.7996976	0
2885253	0.26146975	0.26146975	0.26146975	0
3530518	0.26145265	0.26145265	0.26145265	0
2927504	0.2607989	0.2607989	0.2607989	0
3363139	0.26035273	0.26035273	2.8946717	0
3722415	0.2593354	0.2593354	3.0019648	0
3602640	0.25899935	0.25899935	0.25899935	0
2831203	0.2588606	0.2588606	0.2588606	1
2948674	0.25842932	0.25842932	2.662463	0
3176485	0.257289	0.257289	0.257289	0
1557854	0.25665548	0.25665548	0.25665548	1
3827665	0.2542222	0.2542222	3.2699165	0
3020341	0.2537562	0.2537562	0.2537562	0
3528076	0.25354263	0.25354263	0.25354263	0
2387294	0.2530419	0.2530419	0.2530419	0
3074312	0.25251335	0.25251335	2.876658	0
2799065	0.25196365	0.25196365	1.6577634	0
1920553	0.2512962	0.2512962	0.2512962	0
2700076	0.2503345	0.2503345	0.2503345	0
