pmcid	title	abstract	body	relevancy
2769281	1.4578952	1.331421	1.3788493	0
3751269	1.4393902	0.11844542	0.0	2
2930659	1.3623276	0.16246384	1.5449063	0
3432199	1.3588183	0.08406837	1.8681594	0
2684510	1.2971312	2.3332834	1.335378	0
3231647	1.1666813	0.061940666	1.0960566	0
3835276	1.1259066	1.7889298	1.7616472	0
2740172	1.1189275	1.5008593	1.6986473	0
3662144	1.0236871	1.3486918	2.0377066	0
3022204	1.0201914	1.342798	3.0377004	0
2884453	1.0066357	0.09569117	1.3076187	0
2722751	0.99052465	0.08090281	1.7419769	2
2811397	0.96419334	0.0	0.0	0
2887505	0.9467205	2.36929	4.1961756	0
3517569	0.8718132	2.1572487	3.359226	0
2222974	0.86929053	0.0	2.6833272	0
3667341	0.5898578	0.0	0.8660135	0
3403367	0.32626522	0.32626522	0.0	0
3546453	0.3171142	2.0669806	1.8585771	1
3542938	0.25963107	1.51098	2.4123042	0
2687656	0.25190702	1.4507418	2.5972247	2
3439936	0.2488814	0.2488814	3.3564823	0
3808756	0.24412565	0.24412565	2.1570258	2
3671282	0.23209783	0.23209783	0.0	0
3863508	0.2304948	0.2304948	0.0	1
3262532	0.21479231	0.21479231	0.0	1
1375236	0.21083014	0.21083014	2.7441044	0
2987328	0.20657325	0.20657325	0.0	1
3564269	0.19979542	0.19979542	0.0	2
2518148	0.19638467	0.19638467	0.0	0
3764715	0.19502568	0.19502568	0.0	0
2901610	0.1945568	0.1945568	0.0	0
1397847	0.19446556	0.19446556	0.0	0
2738311	0.19429056	0.19429056	0.0	2
3420510	0.19068994	1.505034	3.6635835	1
3279511	0.18516265	0.18516265	0.0	0
3532807	0.18505238	1.379112	2.6877792	0
3459526	0.18430458	0.18430458	0.0	0
1459118	0.1838752	1.4278421	0.0	2
2474584	0.18366654	0.18366654	0.0	0
2650979	0.18337749	0.18337749	0.0	2
2829599	0.1800621	0.1800621	0.0	0
476739	0.17927521	0.17927521	0.0	0
3194612	0.17900997	0.17900997	1.770726	2
3544059	0.17856729	0.17856729	0.0	0
3834698	0.17701234	0.17701234	1.61329	0
3808267	0.17649037	0.17649037	0.0	0
2874920	0.17590564	0.17590564	0.0	0
3853164	0.17547429	0.17547429	0.0	2
2174495	0.17542969	0.17542969	1.4142196	0
2929636	0.17493135	1.4582629	1.4652123	0
2390549	0.17476772	0.17476772	2.8568685	1
3866685	0.17139074	1.7887337	2.3508906	2
3551686	0.17120002	0.17120002	1.7705272	1
3640983	0.17032787	0.17032787	0.0	0
3446146	0.16904895	0.16904895	0.0	0
3571903	0.1680095	0.1680095	2.9890943	0
3263063	0.16648673	0.16648673	0.0	0
3492078	0.16507931	0.16507931	0.0	0
3163221	0.16460237	0.16460237	0.0	0
3120985	0.16289139	0.16289139	0.0	2
3045886	0.16241154	0.16241154	3.0775714	1
3512775	0.1615926	0.1615926	0.0	2
3879014	0.16152717	1.7550325	2.1952193	0
3193674	0.15910761	1.5520353	1.711394	0
2936411	0.15673739	0.15673739	2.060881	0
2833576	0.15670258	0.15670258	0.0	2
2211766	0.15605877	0.15605877	3.1151474	2
3700967	0.15521063	0.15521063	0.0	0
3263087	0.15487391	0.15487391	0.0	2
3482070	0.15423477	0.15423477	0.0	0
3827830	0.15412425	1.370576	1.9315374	2
2813651	0.15299025	0.15299025	0.0	0
2878411	0.15244469	0.15244469	0.0	0
1794505	0.15215607	0.15215607	0.0	2
3548373	0.15215512	0.15215512	1.6208366	0
3221223	0.15146288	1.4936954	1.4401795	0
3368360	0.15074064	0.15074064	0.0	0
2919553	0.1482266	0.1482266	0.0	0
3019058	0.14815985	0.14815985	1.6096531	2
3475923	0.14772612	0.14772612	0.0	0
3334666	0.14689441	0.14689441	0.0	0
3049121	0.14642408	0.14642408	0.0	0
3327025	0.14596535	0.14596535	1.6731366	1
2855433	0.14594041	0.14594041	0.0	0
3674621	0.14512837	0.14512837	0.0	2
3745888	0.14504705	0.14504705	0.0	1
3878216	0.1447666	1.4025369	2.043941	1
3410247	0.14392085	0.14392085	0.0	0
3573493	0.14363652	0.14363652	0.0	0
1887527	0.14362039	0.14362039	1.4196004	0
2931142	0.14361304	1.4611241	0.0	0
3099202	0.14346322	1.5035785	1.5109624	2
2913530	0.14320554	1.3462762	2.4922397	0
3674591	0.14292483	0.14292483	0.8911928	2
3495356	0.1423842	0.1423842	1.5019943	0
2763717	0.14092684	1.5522797	1.8262168	1
3780631	0.14081891	0.14081891	0.0	0
2777903	0.14028285	0.14028285	0.0	2
3436642	0.1397875	1.6078426	0.0	0
3276790	0.13915153	0.13915153	0.0	1
3621239	0.13911131	0.13911131	1.488219	2
3733956	0.1378632	0.1378632	0.0	0
3237274	0.13736522	0.13736522	2.7835846	2
2726516	0.13711184	0.13711184	0.0	0
3480806	0.13710664	0.13710664	0.0	0
3465901	0.13690746	0.13690746	0.0	1
2822250	0.13679518	0.13679518	0.0	1
3132017	0.13610207	1.2447051	2.3462245	2
2807152	0.1360298	0.1360298	3.2748418	2
544880	0.13585727	0.13585727	0.0	0
3008954	0.13541226	0.13541226	0.0	0
3256981	0.13532111	0.13532111	0.0	0
2859367	0.13451527	0.13451527	0.0	0
3459702	0.13447993	0.13447993	0.0	1
3262783	0.13410057	0.13410057	0.0	0
2248591	0.13262363	0.13262363	2.0557332	0
3410306	0.13246389	0.13246389	0.0	2
2664214	0.13162412	0.13162412	1.331643	0
3290853	0.13131435	0.13131435	0.0	0
3087414	0.13124801	0.13124801	0.0	2
3457724	0.13092218	0.13092218	0.0	0
3407018	0.13049242	1.3866322	3.4384706	1
3177362	0.1300936	0.1300936	0.0	2
1397863	0.1298498	0.1298498	0.0	0
3734688	0.1292403	0.1292403	0.0	0
2667523	0.1285747	0.1285747	0.0	0
3340295	0.12809344	0.12809344	0.0	0
3465905	0.12769018	0.12769018	0.0	0
1257438	0.12700063	0.12700063	0.82060504	0
3879517	0.12684914	1.3854377	0.0	0
3623899	0.12663625	0.12663625	1.2212448	2
2592818	0.12632038	0.12632038	0.0	0
3657232	0.12584035	1.2905462	1.496146	0
3342722	0.12504709	0.12504709	0.0	0
3675506	0.1250259	0.1250259	2.5718362	0
2811979	0.12494603	0.12494603	1.3211257	0
3610196	0.1249093	0.1249093	1.2831147	0
3420725	0.12420004	0.12420004	2.3876913	1
3194619	0.12405628	0.12405628	0.0	0
3138087	0.123881035	0.123881035	1.0949394	2
3733185	0.123753056	0.123753056	1.2445152	0
3546840	0.123263	0.123263	0.0	0
3651279	0.12324083	0.12324083	2.4080079	2
3334060	0.12311276	0.12311276	0.0	2
3343432	0.122859165	0.122859165	0.0	2
1065341	0.12280638	0.12280638	0.0	2
2881083	0.122281685	0.9659143	1.660474	0
3085104	0.121984296	0.121984296	0.0	0
400510	0.12193087	0.12193087	0.0	0
3651015	0.12188743	1.7241273	1.4833957	0
3224515	0.1215324	1.232027	2.0263796	1
3218868	0.12093883	0.12093883	0.0	0
2627812	0.12042331	1.2953048	1.2484783	0
3481929	0.12035896	0.12035896	2.164689	0
3702711	0.11999386	0.11999386	1.809002	2
2974748	0.119716726	0.119716726	0.0	0
17815	0.11899003	0.11899003	2.386602	0
3334646	0.118989035	0.118989035	0.8494767	0
2722012	0.11844551	0.11844551	0.0	2
3132014	0.11842178	0.11842178	0.0	2
2374473	0.11806231	0.11806231	0.0	2
3652048	0.11775663	1.2683074	2.8010108	0
3278252	0.117528796	0.117528796	0.0	0
3273064	0.11740178	0.11740178	0.0	0
2526068	0.117121816	1.2562784	1.583301	2
3794566	0.11702991	0.11702991	0.0	2
2856385	0.11700547	1.1904054	1.5965236	2
3276022	0.1169643	0.1169643	2.050565	1
2588570	0.11670858	0.11670858	0.0	0
3512873	0.11626136	0.8153769	0.0	0
3819262	0.11585212	0.11585212	0.0	0
1174953	0.115814574	0.115814574	0.0	2
3115637	0.115298055	0.115298055	0.0	0
3446004	0.11497303	0.11497303	0.0	0
3307463	0.114904456	1.4001373	1.3979492	2
3615941	0.1145606	0.1145606	0.0	2
3351712	0.11400677	0.11400677	0.0	0
3614763	0.11389715	0.11389715	0.0	0
3824558	0.113832965	0.113832965	0.0	0
3838810	0.11370764	1.2039459	1.1476451	0
3682271	0.11354595	0.11354595	0.0	0
3405457	0.113136575	1.6328024	0.0	0
2542358	0.11265373	0.11265373	0.8297683	0
3446153	0.11257143	0.11257143	0.0	0
3573972	0.11253105	0.11253105	1.0908668	0
3290840	0.112517916	0.112517916	0.0	0
3166803	0.11236643	0.11236643	1.2825907	0
3699701	0.11192677	0.11192677	0.0	0
3614293	0.11178533	0.11178533	2.0334065	0
2729276	0.11170627	0.11170627	0.0	0
3146930	0.11163696	0.11163696	0.0	0
2196251	0.1115903	0.1115903	0.0	0
3321529	0.11157411	1.0674824	3.5884082	0
2117019	0.1114745	0.1114745	0.0	0
3183691	0.111135386	1.3400044	0.0	0
3775397	0.111063786	1.2752521	0.0	0
3193787	0.11099018	0.11099018	0.0	0
3762519	0.110926695	1.2009796	0.0	0
3561694	0.11077726	0.11077726	1.0808996	1
3820459	0.11046391	0.11046391	0.0	0
3228372	0.11044842	0.11044842	0.0	0
2740249	0.110222235	0.110222235	0.0	0
2856380	0.10993965	0.10993965	0.0	0
3616816	0.109700106	0.109700106	0.0	2
2615276	0.10957669	0.10957669	1.6009831	0
3848592	0.1092874	0.1092874	0.0	0
3851743	0.10913984	0.10913984	0.0	0
3764949	0.108748965	0.108748965	2.0253615	0
2206392	0.10841908	0.10841908	1.3193334	0
2906497	0.108331986	0.108331986	0.0	0
3667088	0.108306915	0.108306915	0.0	2
3672677	0.10826863	0.10826863	0.0	0
3317086	0.10824147	0.10824147	0.0	1
2769330	0.10800821	0.10800821	0.0	0
3044791	0.10787372	0.10787372	2.120614	2
3239336	0.10773013	0.10773013	0.0	2
3334080	0.10754134	0.10754134	0.0	0
3135110	0.107275344	1.1299295	2.4576058	1
3511164	0.10726728	0.10726728	0.0	0
3364667	0.10719496	1.3326234	0.0	2
2562358	0.10698331	0.10698331	0.0	0
3658292	0.10693188	0.10693188	1.0634321	0
3589375	0.10686289	0.10686289	0.0	2
3222266	0.10680987	0.10680987	0.0	0
149382	0.10620173	0.10620173	0.0	0
3241370	0.10596365	0.10596365	0.0	2
3146905	0.10588404	0.10588404	0.0	0
2592791	0.10561382	0.10561382	0.0	2
3177938	0.1052948	0.1052948	2.4599235	2
2812738	0.105121925	0.105121925	0.0	0
3482079	0.10499037	0.10499037	1.2211713	0
3600228	0.10484899	0.10484899	0.0	0
3626309	0.10478244	0.10478244	0.0	0
2827140	0.10469253	0.10469253	0.0	0
3477656	0.10443605	0.10443605	0.0	0
3046515	0.104425564	0.104425564	0.0	2
2396599	0.104418024	0.104418024	0.0	0
3420570	0.104182556	0.104182556	0.0	2
3778233	0.103854515	0.103854515	0.0	0
526283	0.10380321	0.10380321	1.0067123	0
2672127	0.10373033	0.10373033	0.0	0
2941754	0.10370499	0.10370499	0.0	2
1236920	0.10361334	0.10361334	1.9072168	0
2856378	0.10300662	0.10300662	0.0	0
3590438	0.102667406	0.102667406	0.0	0
2008202	0.10253679	0.10253679	0.0	0
2569912	0.10220844	1.2751323	0.0	0
3042616	0.10210465	0.10210465	0.0	2
3811980	0.10185681	0.10185681	0.0	0
2893117	0.10167813	0.10167813	0.0	0
1869029	0.10102449	0.10102449	0.0	0
3652052	0.10056128	1.3286752	1.2949991	0
2732791	0.10034799	1.4573917	1.3822731	2
3574827	0.10030077	0.10030077	0.0	0
3078859	0.10015344	0.10015344	0.0	0
2644628	0.10014849	0.10014849	0.0	0
3275113	0.099911675	0.099911675	0.0	1
3509389	0.09962725	0.09962725	1.6673416	0
2765176	0.09960885	0.09960885	0.0	0
