pmcid	title	abstract	body	relevancy
3152527	7.407845	4.4922414	2.0574338	0
2918838	7.347306	4.436655	2.8294306	0
2871551	7.05466	5.3896837	2.4783723	0
2987954	6.9118824	4.2205563	4.2390842	0
3459797	6.8699217	4.534702	2.239056	0
2896582	6.799096	0.1358231	3.4935849	0
3606122	6.6152973	0.23924923	2.1857731	0
3616125	6.257494	0.29562306	2.5986414	0
3488388	6.1856947	5.091071	4.1057277	0
2923171	6.0445004	3.446199	3.50014	0
3806430	6.0008397	3.8013961	2.646394	0
3174928	5.8140726	2.845387	2.7656887	0
3113998	5.7142015	2.4801307	2.5194917	0
1634852	5.569091	4.67958	3.6918626	0
2790738	5.394067	0.15864202	2.3590927	0
3350064	5.18522	4.180542	2.2416344	0
3669561	5.1594214	0.19634524	0.19634524	0
3342549	5.156543	3.600679	3.396736	0
3129533	5.107346	4.2910905	2.381884	0
3680301	5.062932	2.9130359	3.1980271	0
2627819	4.4351697	2.7855606	2.783126	0
2769324	3.8061495	0.12891904	0.0	0
2887870	3.3952823	0.0	2.0448372	0
3279489	0.36135694	0.36135694	0.36135694	0
3745931	0.35095066	0.35095066	0.35095066	0
2659845	0.3475748	0.3475748	0.3475748	0
3335556	0.3466432	0.3466432	4.400553	0
3833587	0.32749075	4.365697	4.2307673	0
2803987	0.32306382	0.32306382	0.32306382	0
3515415	0.30653164	0.30653164	2.6532886	0
3618104	0.30640393	0.30640393	4.586028	0
2740015	0.30346075	0.30346075	0.30346075	0
2700593	0.2894798	0.2894798	0.2894798	0
3147240	0.28926778	0.28926778	2.4930763	0
2716679	0.283596	3.5488236	2.2179685	0
2629964	0.28324082	0.28324082	0.28324082	2
3291424	0.28290576	0.28290576	2.5812469	0
2856542	0.28276658	0.28276658	2.5852003	0
3562643	0.28144073	0.28144073	0.28144073	0
3677011	0.28063962	3.480038	3.3896358	0
3101915	0.28045377	0.28045377	0.28045377	0
2762186	0.27901843	0.27901843	0.27901843	0
3426013	0.27848053	0.27848053	3.7760541	0
2605761	0.2776332	0.2776332	0.2776332	0
1780052	0.2771421	0.2771421	0.2771421	0
3336243	0.27617425	0.27617425	0.27617425	0
3732623	0.2750161	0.2750161	0.2750161	0
3168459	0.27485934	0.27485934	0.27485934	0
3335608	0.27480873	4.782694	3.2099001	0
3384962	0.27382123	0.27382123	2.7739053	0
2908659	0.27338675	0.27338675	0.27338675	0
2672212	0.27279657	0.27279657	0.27279657	0
3863515	0.27223265	3.999552	4.3795404	0
2988179	0.27200592	0.27200592	0.27200592	0
3420763	0.2702337	0.2702337	0.2702337	0
3773459	0.27005517	4.5362296	3.2378836	1
3117630	0.2700076	0.2700076	0.2700076	0
3649648	0.26760998	4.2635894	2.815631	0
2517969	0.2673815	0.2673815	0.2673815	0
2803937	0.26650533	0.26650533	0.26650533	0
3090107	0.26562932	5.0169277	2.5214047	0
3606484	0.26471534	0.26471534	0.26471534	0
3276928	0.26371542	0.26371542	0.26371542	0
3118368	0.26312035	2.7474742	2.3614342	0
3803125	0.26291358	0.26291358	0.26291358	0
2984325	0.26197228	0.26197228	0.26197228	0
3809936	0.26119348	0.26119348	0.26119348	0
3542949	0.26100588	0.26100588	0.26100588	0
2827106	0.2591024	0.2591024	0.2591024	0
3239171	0.25889385	0.25889385	4.23053	0
3502108	0.25886285	0.25886285	0.25886285	1
3341425	0.25797203	0.25797203	0.25797203	0
3299160	0.257659	0.257659	0.257659	0
2672273	0.25683555	0.25683555	3.6456242	0
3853387	0.25669152	0.25669152	0.25669152	0
3108676	0.25529712	0.25529712	0.25529712	2
2908671	0.25492808	0.25492808	0.25492808	0
2424060	0.25370035	0.25370035	1.714699	0
3622346	0.25292078	0.25292078	2.3674853	0
3619046	0.25271156	0.25271156	0.25271156	0
3137810	0.25217372	0.25217372	0.25217372	0
3279506	0.25211066	0.25211066	3.8423862	0
3616029	0.2520321	4.011721	2.8017192	0
3751499	0.25197113	0.25197113	0.25197113	0
3866318	0.25058478	0.25058478	3.453399	0
2769310	0.2483424	0.2483424	0.2483424	0
2211302	0.24775168	0.24775168	0.24775168	0
3336229	0.24715154	4.2027044	3.266517	0
3876309	0.24662156	0.24662156	0.24662156	1
2259431	0.24647444	0.24647444	0.24647444	0
2700453	0.24639206	0.24639206	0.24639206	0
3415813	0.24580275	0.24580275	0.24580275	0
2900082	0.24477199	0.24477199	0.24477199	0
3791839	0.24392395	0.24392395	0.24392395	0
3880723	0.24385962	0.24385962	0.24385962	0
3658225	0.24377637	0.24377637	0.24377637	0
3258820	0.24369423	0.24369423	0.24369423	2
3075148	0.2429164	0.2429164	0.2429164	0
2987927	0.24262391	3.5058029	0.24262391	0
3789906	0.24125895	0.24125895	0.24125895	0
3266655	0.24069102	3.2939403	2.8987505	0
2771810	0.23960109	5.46123	3.2332096	0
3878251	0.2393354	0.2393354	0.2393354	0
3716033	0.23867556	0.23867556	0.23867556	0
2845793	0.23863152	0.23863152	0.23863152	0
2737789	0.23819843	4.854277	2.7329364	0
3350022	0.23715769	3.6277628	0.23715769	0
3590570	0.23633207	0.23633207	0.23633207	0
2830978	0.23522317	3.5767694	2.768284	0
2716677	0.23439021	0.23439021	0.23439021	0
3523543	0.23402913	0.23402913	0.23402913	0
3056330	0.23351558	3.8247433	4.5981493	0
2518550	0.23348163	0.23348163	2.0037384	0
3535729	0.2324886	0.2324886	0.2324886	0
2244628	0.23095615	0.23095615	0.23095615	1
3632018	0.23052007	0.23052007	0.23052007	0
2698203	0.22970721	4.601161	4.3477187	0
2672274	0.22957793	0.22957793	3.6819868	0
3126719	0.22925004	0.22925004	0.22925004	0
3047842	0.22919855	0.22919855	0.22919855	0
3875701	0.22908494	4.60051	4.5353136	2
3445145	0.2288353	0.2288353	0.2288353	2
3623122	0.2286957	0.2286957	0.2286957	0
3814076	0.22821157	0.22821157	0.22821157	0
3087275	0.22751218	0.22751218	0.22751218	0
2615763	0.22740364	0.22740364	0.22740364	0
3527017	0.22737008	0.22737008	1.5563381	0
2918831	0.22714981	5.9499907	3.9349403	0
3274713	0.22711769	0.22711769	0.22711769	0
2868877	0.22702369	0.22702369	0.22702369	0
3163218	0.22665113	4.288744	2.7580538	0
3789894	0.22653902	0.22653902	0.22653902	0
2803902	0.22630501	0.22630501	0.22630501	0
3378720	0.22528327	0.22528327	0.22528327	0
3784075	0.225053	0.225053	0.225053	2
2569032	0.22445434	0.22445434	0.22445434	0
3368213	0.22417183	4.4654374	3.0111215	0
3563701	0.22393082	3.9822817	3.2302618	0
2700440	0.22349918	3.838491	4.0876684	0
2245957	0.22306435	4.6888666	2.64581	0
3423769	0.22224745	3.3389292	2.613412	0
3542903	0.22223099	0.22223099	4.107617	0
3423659	0.22210267	0.22210267	0.22210267	0
2760694	0.22207466	0.22207466	0.22207466	0
3133999	0.22195339	0.22195339	0.22195339	0
3432333	0.22190425	0.22190425	0.22190425	0
2934212	0.22172524	0.22172524	0.22172524	0
2901617	0.22147629	0.22147629	0.22147629	0
3357009	0.22072157	0.22072157	0.22072157	2
2904793	0.22019015	3.7908702	4.5731263	0
3351966	0.21933247	0.21933247	2.8245437	0
3682695	0.21910284	4.3170156	2.199344	0
1112595	0.2189477	0.2189477	3.10127	0
2740013	0.21832033	4.898819	2.7920213	0
3555588	0.2177121	0.2177121	0.2177121	2
2532955	0.21755335	0.21755335	0.21755335	0
1791015	0.21719205	0.21719205	2.6402352	0
2740311	0.21716648	0.21716648	0.21716648	0
2783122	0.21599394	0.21599394	0.21599394	0
3775200	0.21586394	0.21586394	0.21586394	0
3271399	0.215529	0.215529	0.215529	0
2872575	0.21533002	0.21533002	2.424476	0
1440773	0.21531639	0.21531639	0.21531639	0
3841703	0.21488447	0.21488447	0.21488447	0
3658220	0.2139389	3.410161	2.2362933	1
3485910	0.21379268	0.21379268	0.21379268	0
2672246	0.21279354	0.21279354	0.21279354	0
3509409	0.21245065	0.21245065	0.21245065	0
3538187	0.21158925	4.878895	0.21158925	0
3614380	0.21109001	0.21109001	0.21109001	0
3318779	0.21107115	0.21107115	0.21107115	0
3673581	0.21019958	0.21019958	0.21019958	0
2657235	0.2101314	0.2101314	0.2101314	0
3003213	0.2097238	4.3911138	4.328752	0
3400351	0.20961954	0.20961954	0.20961954	0
3628802	0.20941825	0.20941825	0.20941825	0
2873394	0.20930243	0.20930243	1.7635853	0
3871041	0.20904256	3.9666846	0.20904256	0
3410720	0.20870143	0.20870143	0.20870143	0
2500261	0.20848455	0.20848455	0.20848455	0
3248865	0.20831484	0.20831484	2.4674797	0
3541793	0.20794068	0.20794068	0.20794068	0
3809316	0.20793055	0.20793055	0.20793055	0
3179762	0.20780323	2.558	2.5543277	0
3789901	0.20769076	0.20769076	0.20769076	0
343284	0.20739387	0.20739387	0.20739387	0
1524788	0.20726746	0.20726746	0.20726746	1
2868875	0.20702767	3.648486	2.8465984	1
3378931	0.206799	0.206799	2.4108815	0
3877581	0.2067097	0.2067097	2.3706162	0
3890009	0.20666787	0.20666787	2.6582928	0
3623460	0.20642892	0.20642892	3.4141848	0
3502875	0.20639321	0.20639321	2.1513526	0
3738093	0.20591196	0.20591196	0.20591196	0
3559148	0.20587234	4.8857484	4.0904408	0
3198636	0.20580538	0.20580538	0.20580538	0
2633342	0.20576692	0.20576692	0.20576692	0
3759689	0.2044977	4.244117	2.6370585	0
3424654	0.20440017	0.20440017	2.7140598	0
2803956	0.20412414	0.20412414	0.20412414	0
2917397	0.20385015	0.20385015	0.20385015	0
3004882	0.20300917	0.20300917	0.20300917	0
3420376	0.20287007	3.9625375	2.2246976	0
3108942	0.20283094	3.4640203	2.5154538	2
3214307	0.20278116	0.20278116	0.20278116	0
3275124	0.20220831	0.20220831	0.20220831	0
3201100	0.20173326	0.20173326	0.20173326	0
1464140	0.20167866	0.20167866	0.20167866	1
2769425	0.20104931	0.20104931	0.20104931	0
3530759	0.20096242	0.20096242	0.20096242	0
3712681	0.20082763	0.20082763	3.2630572	0
3339755	0.20051004	0.20051004	0.20051004	0
3541576	0.20034027	0.20034027	0.20034027	0
2844379	0.1990622	3.2820983	1.7748694	0
3782346	0.19898346	0.19898346	0.19898346	0
2528306	0.19846529	3.369753	4.017294	0
3502773	0.19838834	3.785646	2.2987947	0
3003678	0.19821212	3.2812078	2.619774	0
3557722	0.19810185	0.19810185	0.19810185	0
3658216	0.1980398	0.1980398	2.5154495	0
3169864	0.19797155	0.19797155	0.19797155	0
2629465	0.19791213	0.19791213	0.19791213	0
3168384	0.19765016	0.19765016	0.19765016	0
2908657	0.1968571	0.1968571	0.1968571	0
2213664	0.19542441	4.1869893	2.0907497	0
2176139	0.19472322	0.19472322	0.19472322	0
3085970	0.19470021	0.19470021	3.6271741	0
3514081	0.19432513	0.19432513	0.19432513	0
2909950	0.19429395	0.19429395	0.19429395	0
3298226	0.19411471	0.19411471	0.19411471	0
2777882	0.19403628	0.19403628	0.19403628	0
2694193	0.19316472	0.19316472	0.19316472	0
3409508	0.19315997	0.19315997	0.19315997	0
3199233	0.19312942	0.19312942	0.19312942	0
3573171	0.19293293	0.19293293	0.19293293	2
3102859	0.19284178	3.3880594	2.6147254	0
2745147	0.19247472	0.19247472	3.815072	0
3697146	0.19245237	0.19245237	0.19245237	0
3349957	0.19243968	0.19243968	3.7270482	0
3236157	0.19242962	0.19242962	0.19242962	0
3763229	0.1919361	0.1919361	0.1919361	0
3864172	0.19141628	0.19141628	0.19141628	0
3679963	0.19136475	0.19136475	0.19136475	1
3683440	0.19114661	0.19114661	2.7000268	0
1592487	0.19113389	0.19113389	0.19113389	0
2829621	0.1906658	4.731777	3.5797527	1
2741488	0.19053856	0.19053856	0.19053856	0
3519516	0.19039986	0.19039986	0.19039986	0
2691517	0.1902799	0.1902799	0.1902799	0
3134683	0.19005135	0.19005135	2.5721343	0
2920273	0.18995133	0.18995133	0.18995133	2
2946721	0.18987818	0.18987818	0.18987818	0
3162763	0.18962602	0.18962602	0.18962602	0
3523055	0.18798313	0.18798313	0.18798313	0
3015558	0.18771811	0.18771811	0.18771811	0
3552941	0.18767813	0.18767813	0.18767813	0
2639561	0.18753326	4.3014	2.4993913	0
1635700	0.18738788	4.3539762	3.118506	0
2075500	0.18723756	2.805007	2.1722794	0
1201178	0.18704025	3.0263329	0.18704025	1
3716627	0.1868519	0.1868519	0.1868519	0
3504375	0.18655792	0.18655792	1.7395773	0
2706800	0.18627347	0.18627347	0.18627347	2
3542514	0.18610196	0.18610196	3.1093159	0
3596662	0.18606254	4.4253225	2.6780567	2
535548	0.1857716	3.236275	0.1857716	0
3245395	0.18545245	0.18545245	0.18545245	0
2700443	0.18531276	5.274167	3.8081326	0
3200284	0.18476465	0.18476465	0.18476465	0
3354493	0.18473141	0.18473141	0.18473141	0
3598820	0.18471627	0.18471627	0.18471627	0
2726487	0.18458568	4.2254686	3.7779756	0
3795016	0.1845331	0.1845331	0.1845331	0
3099620	0.18453231	0.18453231	0.18453231	0
2850863	0.1845227	0.1845227	0.1845227	0
3441877	0.18449432	0.18449432	0.18449432	0
3633019	0.18443374	0.18443374	0.18443374	0
3785589	0.18433921	0.18433921	0.18433921	0
3789283	0.1840889	0.1840889	0.1840889	0
2672256	0.1840018	0.1840018	0.1840018	0
3131759	0.18392028	0.18392028	0.18392028	0
2769286	0.18376887	0.18376887	0.18376887	2
2930656	0.18362929	0.18362929	0.18362929	0
3021334	0.1834213	3.4436402	2.8380399	0
2841247	0.18320927	3.3779683	2.2041004	0
3480136	0.18306713	0.18306713	3.9024968	0
3161475	0.18298085	0.18298085	0.18298085	2
3502833	0.18251929	0.18251929	0.18251929	0
3560787	0.18232852	0.18232852	0.18232852	0
3379870	0.18181412	0.18181412	0.18181412	0
3792511	0.18179937	3.7704413	0.18179937	0
2769276	0.18178964	3.5983462	0.18178964	0
2850857	0.18169838	0.18169838	0.18169838	0
2957620	0.18165004	0.18165004	0.18165004	0
3191848	0.18156432	0.18156432	0.18156432	0
3387584	0.18152745	0.18152745	1.6377656	0
2840598	0.18131667	0.18131667	3.284819	0
3789899	0.18111125	0.18111125	0.18111125	0
2767138	0.18107554	0.18107554	0.18107554	2
3184633	0.18089423	3.2952785	3.7164216	0
3299954	0.18088971	0.18088971	0.18088971	0
3789280	0.18061261	0.18061261	0.18061261	2
3209998	0.18041058	0.18041058	0.18041058	0
3099218	0.18026	0.18026	0.18026	0
2900127	0.17995602	0.17995602	0.17995602	0
3439304	0.17993909	0.17993909	0.17993909	0
2387156	0.17992696	0.17992696	0.17992696	0
3298012	0.17960219	0.17960219	2.6535645	0
3015508	0.17924298	0.17924298	0.17924298	0
3151403	0.17869774	0.17869774	2.490114	0
3789895	0.17848746	0.17848746	0.17848746	0
2846933	0.17831725	0.17831725	0.17831725	0
3023754	0.17786385	4.8387475	3.3842592	0
3487024	0.17766719	0.17766719	0.17766719	0
3090317	0.1776517	0.1776517	0.1776517	0
1920505	0.17733078	0.17733078	0.17733078	0
3015305	0.17727886	0.17727886	0.17727886	0
2276892	0.17698824	0.17698824	0.17698824	0
3480906	0.1768581	0.1768581	0.1768581	0
3354434	0.17680493	0.17680493	0.17680493	0
3804823	0.1767616	0.1767616	0.1767616	0
3549590	0.17663752	0.17663752	3.5091286	0
3405157	0.17643914	0.17643914	0.17643914	2
3665130	0.176251	0.176251	0.176251	0
3250652	0.17603277	3.511889	3.0491147	0
3298225	0.17531574	0.17531574	0.17531574	0
3629711	0.17503351	3.289092	2.9466026	2
2698143	0.17498082	0.17498082	2.5787246	0
3037981	0.17484786	0.17484786	0.17484786	0
3160360	0.17429549	0.17429549	0.17429549	0
3639886	0.17429309	3.2220874	2.2734945	0
3058085	0.1741051	0.1741051	0.1741051	0
2874368	0.17378716	0.17378716	2.7168002	0
3607782	0.17349942	0.17349942	0.17349942	1
3724771	0.17337239	0.17337239	0.17337239	0
3233371	0.17245175	3.436738	2.1561513	0
2933125	0.17202233	0.17202233	1.3409872	0
2650986	0.1718587	3.4486246	2.9560552	0
3628469	0.17154253	0.17154253	0.17154253	0
3406278	0.17134719	0.17134719	0.17134719	0
1906866	0.17133756	0.17133756	2.1916635	0
2881009	0.1712432	4.4054184	0.1712432	0
3031187	0.17103371	0.17103371	3.2772992	0
2734531	0.17071855	0.17071855	0.17071855	0
1569821	0.17065465	0.17065465	1.9754024	0
3208579	0.17052576	0.17052576	2.3967602	0
2952120	0.17052549	0.17052549	0.17052549	0
1824744	0.1705029	3.1214812	3.5424755	0
3555599	0.17033948	0.17033948	0.17033948	0
3355351	0.17012978	0.17012978	0.17012978	2
3052454	0.1697409	0.1697409	0.1697409	0
2794850	0.16955847	0.16955847	0.16955847	0
3327834	0.16953093	0.16953093	0.16953093	0
2672442	0.16920589	0.16920589	0.16920589	2
3087249	0.16915157	0.16915157	0.16915157	0
3420433	0.1691166	0.1691166	0.1691166	0
3563462	0.16908322	0.16908322	0.16908322	0
3113866	0.16890219	0.16890219	0.16890219	0
3255438	0.16883568	0.16883568	1.6016566	0
3038627	0.16877672	3.4147923	3.519248	0
3371497	0.16874918	0.16874918	0.0	0
3070675	0.16852151	2.8410292	0.0	0
3325356	0.16836444	0.16836444	0.0	1
3751893	0.16826119	0.16826119	0.0	0
2936680	0.16778891	0.16778891	1.196852	0
3724088	0.16737986	0.16737986	0.0	0
3538185	0.16691849	3.8341174	2.504489	0
2799007	0.16682968	0.16682968	0.38303685	0
3405669	0.16678908	0.16678908	0.0	0
3665183	0.16651765	3.2801032	4.0275216	0
2881437	0.16632268	0.16632268	2.109374	0
3109347	0.16626579	0.16626579	3.6576052	0
3203843	0.16623911	0.16623911	0.0	0
3276929	0.16622993	0.16622993	0.0	0
3015255	0.16615678	0.16615678	0.0	0
2082032	0.16611208	3.4300256	1.8217628	0
3878531	0.16610813	0.16610813	0.0	0
2045103	0.16584921	0.16584921	0.0	2
3109837	0.16567366	0.16567366	0.0	0
3463053	0.16534476	0.16534476	3.1806197	0
3638505	0.16497369	0.16497369	0.0	0
3322185	0.16483334	0.16483334	0.0	0
2945520	0.16480447	0.16480447	0.0	0
3354470	0.16465056	0.16465056	3.9497747	0
3250660	0.16463554	0.16463554	0.0	0
3878496	0.1644694	0.1644694	0.0	0
2630300	0.16445503	0.16445503	2.3659499	0
2807848	0.164277	0.164277	0.0	0
3664446	0.16412023	0.16412023	0.0	0
2780608	0.16398294	0.16398294	0.0	0
2360582	0.16389117	0.16389117	0.0	0
3420614	0.16382633	0.16382633	2.531019	0
2829622	0.1638131	0.1638131	1.9316452	0
3047819	0.16364548	3.4988496	0.0	0
3385346	0.16351223	0.16351223	1.5817813	0
3712110	0.16336587	0.16336587	0.0	0
3529253	0.16333623	0.16333623	0.0	0
2769317	0.16328272	0.16328272	0.0	0
3671146	0.16310114	0.16310114	0.0	0
3407757	0.16288769	0.16288769	0.0	0
1481515	0.1622517	0.1622517	1.934334	1
3884537	0.16200875	0.16200875	0.51094365	0
2799065	0.16191193	0.16191193	0.74875766	0
2848624	0.16190657	0.16190657	0.0	0
3649270	0.16173849	0.16173849	0.0	0
1876465	0.1612211	0.1612211	0.0	0
1513255	0.16103712	0.16103712	0.0	0
2700565	0.16096097	0.16096097	0.0	0
2967696	0.1609163	4.18785	0.0	0
3750274	0.16064337	3.1025255	2.4711568	0
3815018	0.16046126	0.16046126	0.0	0
2984288	0.16024235	0.16024235	0.0	0
2628084	0.159967	0.159967	0.0	0
3808824	0.1595819	0.1595819	0.0	0
3658208	0.15942498	4.8517632	2.8046753	0
3061803	0.15937126	0.15937126	0.0	0
3383153	0.15923496	0.15923496	2.9299264	0
3273697	0.15905046	3.3281484	2.1798327	0
3493829	0.15880272	0.15880272	1.5720711	0
3261489	0.15856688	0.15856688	2.4462776	0
3124324	0.15828443	0.15828443	0.0	0
3421969	0.15821847	0.15821847	0.0	0
3771272	0.1581167	0.1581167	0.0	0
2769322	0.15729965	0.15729965	0.0	0
3019007	0.15725149	0.15725149	0.0	2
2672084	0.15714097	3.794235	2.826645	0
3234052	0.15706141	0.15706141	2.418447	0
3531001	0.15685594	0.15685594	0.0	0
1524974	0.1566908	0.1566908	0.0	0
3572695	0.15665893	0.15665893	0.0	0
1253515	0.15662201	0.15662201	0.0	0
2907399	0.15656231	4.120957	3.216956	0
3874924	0.15635271	0.15635271	0.0	0
2860418	0.15633903	0.15633903	0.0	0
3841536	0.15629862	0.15629862	0.0	2
2694288	0.15616234	0.15616234	0.0	0
2927493	0.15587965	0.15587965	4.0718813	0
3893345	0.15562743	0.15562743	0.0	0
3097588	0.15558977	0.15558977	0.0	0
3700468	0.15550585	2.8931506	2.4172418	0
3259355	0.15536162	0.15536162	3.0226305	0
3431046	0.15535215	0.15535215	0.0	0
3842809	0.15525787	0.15525787	0.0	0
3835909	0.15522756	0.15522756	0.0	0
2737768	0.15517299	0.15517299	0.0	0
3146132	0.15516296	0.15516296	0.0	0
3113185	0.1551244	0.1551244	0.0	0
3283754	0.15510018	0.15510018	0.0	0
2933732	0.15505457	0.15505457	0.0	0
3267069	0.15497778	0.15497778	0.0	0
3790043	0.15496607	0.15496607	0.0	0
2072943	0.15473822	0.15473822	0.0	0
1479417	0.15452483	5.9152975	2.4274187	0
3369412	0.15450549	0.15450549	0.0	0
2396649	0.15450205	0.15450205	0.0	0
3002912	0.15407683	0.15407683	2.4167566	0
3236149	0.1538822	3.9994998	2.468968	0
2890912	0.15386634	0.15386634	2.767871	0
3558845	0.15379766	0.15379766	2.5222883	0
2909991	0.15336545	0.15336545	0.0	0
3729689	0.15255062	0.15255062	0.0	0
3445096	0.15254766	0.15254766	0.0	0
3064452	0.15252976	0.15252976	3.3223865	2
3102012	0.15243591	0.15243591	0.0	0
3324918	0.15233882	0.15233882	0.0	0
3733300	0.1517784	0.1517784	1.6618644	0
3861449	0.15136984	0.15136984	0.0	0
3806322	0.15116894	0.15116894	0.0	0
2797375	0.15116332	0.15116332	0.0	0
3825933	0.15111668	4.384174	0.0	0
3257460	0.15111566	3.5944388	2.8324723	0
3022137	0.15095653	0.15095653	1.88288	0
2632162	0.15083854	0.15083854	0.0	0
3830149	0.15034497	0.15034497	0.0	0
3088393	0.15021692	0.15021692	0.0	0
3648833	0.15010972	0.15010972	0.0	0
549073	0.15005188	0.15005188	0.0	0
2882564	0.14998904	0.14998904	0.0	0
3256109	0.14994782	0.14994782	2.2350562	0
3311447	0.1497791	0.1497791	2.59841	0
2633340	0.14962025	0.14962025	0.0	0
3115658	0.14949287	0.14949287	0.0	0
