pmcid relevancy abstract body title
2245959 1 3.5892313 0.28705627 3.899855
2365938 1 4.0452285 0.43836108 3.93869
2385905 1 0.032194234 0.030939033 0.032194234
2442045 1 3.6799426 0.27714095 3.0426793
2449135 1 0.018236643 0.01753054 0.4239086
2467416 1 4.6254244 0.42306617 3.4524026
2475384 1 0.015459643 0.014879178 0.3969971
2478665 1 3.8307493 0.19726099 2.4932716
2546371 1 3.8724048 0.35545924 3.6014316
2546372 1 0.4167499 0.40054405 4.2082214
2562359 1 3.9089622 0.20830125 3.6891565
2575197 1 4.1513305 0.24363537 3.2813995
2644320 1 4.108279 0.38524163 3.5981245
2659845 1 4.275974 0.3476774 0.3620996
2726470 1 3.505676 0.28592888 3.185704
2736155 1 4.5776014 0.25451663 3.2929897
2740171 1 3.9877217 0.36546195 3.1835027
2821651 2 2.1951864 0.22173272 0.23072846
2998004 2 2.5229292 0.14542857 3.4319928
2998026 2 4.5094686 0.15565743 3.8886685
3015229 1 2.199003 0.14127085 0.14700225
3015272 1 3.163543 0.22132492 0.23027962
3015275 2 1.9654137 0.20128392 3.5279922
3015359 2 3.7623005 0.20176409 2.7061968
3015535 2 3.7189367 0.20908888 2.9975653
3015536 1 1.8102868 0.08624853 0.089826256
3015668 2 3.1882622 0.15044071 0.15668121
3015684 1 3.194656 0.29865116 0.31068036
3015692 1 2.1960711 0.32419595 3.6095238
3015793 2 3.7769315 0.1568929 3.0412652
3015967 1 3.4831142 0.18762906 0.19522047
3016470 2 0.18203187 0.1751971 0.18203187
3016484 1 3.472636 0.23875444 0.24841435
3016825 2 3.5520854 0.18316042 0.1907582
3017973 2 4.2435617 0.14081368 0.14630708
3030794 2 3.8546124 0.22555594 0.23468184
3113179 1 4.89516 0.36244175 0.3771461
3183543 1 4.100944 0.29556596 4.015083
3191386 2 3.6886365 0.16866441 0.17566085
3261406 2 3.25112 0.1590411 0.16563837
3340973 1 3.5910802 0.410781 0.4273266
3625558 2 4.601811 0.25573295 3.864314
3627155 2 1.26766 0.111966275 0.116476096
3630710 2 4.218732 0.24373613 2.7913203
3673574 2 0.14311731 0.13741702 0.14311731
3729989 2 1.8893404 0.16708031 2.4635491
3729991 2 2.4976633 0.19621672 0.20387147
3783786 2 3.2894719 0.19634174 0.20425007
3796724 1 3.2466056 0.21903634 3.1071415
3870869 2 2.4944637 0.1932124 2.6073325
3891987 2 2.7826273 0.15801933 2.7808616
