pmcid relevancy abstract body title
1087494 2 0.13930544 0.12507261 0.13930544
1088011 2 0.18245174 0.16538076 0.18245174
1183226 2 0.08537824 0.07651907 0.08537824
1188051 2 0.1586578 0.1438131 0.1586578
1199611 2 0.16651455 0.15093473 0.16651455
1325049 2 0.12762566 0.11438276 0.12762566
1434505 2 0.29699394 0.2692059 0.29699394
1584230 2 0.16118276 0.14610182 0.16118276
1592154 2 0.12940668 0.1166966 0.12940668
161797 2 0.2071604 0.18681349 0.2071604
1664563 2 0.21215262 0.19230269 0.21215262
1716160 2 0.30079404 0.2712506 0.30079404
1940252 2 0.13975768 0.12603094 0.13975768
2031887 2 0.41833234 0.3755913 0.41833234
2089060 2 0.27030122 0.24501069 0.27030122
2254627 2 0.17976005 0.16210437 0.17976005
2270822 2 0.46447557 0.41702014 0.46447557
2494993 2 0.14724328 0.13196476 0.14724328
2515901 2 0.3855308 0.3461411 0.3855308
2542367 2 0.065884635 0.059048194 0.065884635
2656288 2 0.192964 0.17294134 0.192964
2656315 2 0.21886544 0.19615515 0.21886544
2656332 2 0.33758 0.30308944 0.33758
2656591 2 0.14560317 0.13072689 0.14560317
2671773 2 0.2980955 0.2702044 0.2980955
2749439 2 0.18246807 0.16408648 0.18246807
2767345 2 0.17176297 0.1539402 0.17176297
2768965 2 0.23093703 0.20767274 0.23093703
2778437 2 0.19730136 0.1779228 0.19730136
2879869 2 0.04542515 0.04078407 0.04542515
2881943 2 0.26809463 0.24027613 0.26809463
2921140 2 0.3489451 0.31379285 0.3489451
2924526 2 0.1564136 0.14177886 0.1564136
2938294 2 0.17036074 0.1526835 0.17036074
2955942 2 0.040099367 0.036059808 0.040099367
2970879 2 0.15899403 0.14337794 0.15899403
2970950 2 0.3020134 0.27067536 0.3020134
2972415 2 0.072665356 0.065345146 0.072665356
3009622 2 0.03267191 0.029614987 0.03267191
3011203 2 0.116816305 0.10488119 0.116816305
3012558 2 0.30413538 0.2734972 0.30413538
3012908 2 0.17427601 0.15647022 0.17427601
3013171 2 0.16803555 0.15110788 0.16803555
3031940 2 0.0 0.0 0.0
3082809 2 0.069241025 0.06226577 0.069241025
3094285 2 0.18066609 0.16220744 0.18066609
3096313 2 0.40535662 0.36394134 0.40535662
3108260 2 0.21489905 0.19479218 0.21489905
3122543 2 0.3197887 0.28711587 0.3197887
3123271 2 0.1144902 0.102610275 0.1144902
3123969 2 0.35963494 0.32289103 0.35963494
3136248 2 0.060852263 0.054538008 0.060852263
3148928 2 0.27728486 0.24935156 0.27728486
3168079 2 0.18235973 0.16529736 0.18235973
3176902 2 0.12015004 0.10890828 0.12015004
3181562 2 0.17974737 0.16163985 0.17974737
3181740 2 0.24883579 0.22376841 0.24883579
3181745 2 0.30925936 0.27810496 0.30925936
3181767 2 0.22752789 0.20391874 0.22752789
3181770 2 0.39342386 0.35478252 0.39342386
3181772 2 0.13796532 0.123869404 0.13796532
3181773 2 0.060834378 0.05514245 0.060834378
3181775 2 0.15979359 0.14409895 0.15979359
3181779 2 0.10449676 0.09365378 0.10449676
3181867 2 0.20874631 0.18921511 0.20874631
3181869 2 0.24594411 0.22178794 0.24594411
3181871 2 0.32190007 0.29028368 0.32190007
3181872 2 0.21781273 0.19587056 0.21781273
3181876 2 0.28712678 0.25892574 0.28712678
3181882 2 0.12996536 0.11647967 0.12996536
3181883 2 0.12216829 0.11016915 0.12216829
3181885 2 0.23810366 0.2137766 0.23810366
3181887 2 0.07860787 0.07045123 0.07860787
3181888 2 0.08853582 0.079840004 0.08853582
3181971 2 0.08419406 0.075457774 0.08419406
3182389 2 0.121470645 0.110105336 0.121470645
3184501 2 0.1341512 0.12159944 0.1341512
3191598 2 0.1503549 0.13499315 0.1503549
3195148 2 0.20277597 0.18173519 0.20277597
3195149 2 0.25986397 0.23434062 0.25986397
3205688 2 0.18979383 0.17115262 0.18979383
3210897 2 0.1551164 0.13949017 0.1551164
3235113 2 0.062209863 0.05585388 0.062209863
3235659 2 0.087596975 0.07899337 0.087596975
3324881 2 0.23620044 0.2116914 0.23620044
3372558 2 0.115548864 0.10390863 0.115548864
3373552 2 0.29371282 0.2637042 0.29371282
3375088 2 0.33640873 0.30251938 0.33640873
3405392 2 0.47508043 0.42722145 0.47508043
3405397 2 0.12883171 0.115853384 0.12883171
3461647 2 0.29178482 0.2623908 0.29178482
3553333 2 0.120892115 0.10958092 0.120892115
3557457 2 0.27753997 0.2502805 0.27753997
3560182 2 0.24137595 0.21632989 0.24137595
3568739 2 0.22617236 0.20338805 0.22617236
3605789 2 0.1831836 0.16446772 0.1831836
3627470 2 0.25160307 0.22549579 0.25160307
3686769 2 0.191315 0.17204219 0.191315
3694900 2 0.18834606 0.16880257 0.18834606
3760296 2 0.17976207 0.16165307 0.17976207
3760618 2 0.15945049 0.14378957 0.15945049
3878174 2 0.5207812 0.46674302 0.5207812
