pmcid relevancy abstract body title
1208937 2 0.19057673 0.18527403 0.19057673
1784608 1 0.4148183 0.19185974 0.19735092
2449186 2 0.06738129 0.06550644 0.07939521
2626783 2 0.39829862 0.23949441 0.24643654
2637889 1 0.113918744 0.10805176 0.111140236
2649930 2 0.4490662 0.27098146 0.278727
2672226 2 0.22411299 0.21818049 0.22411299
2672247 1 0.663206 0.30696514 0.31596026
2700241 2 0.37661248 0.26523918 0.2995886
2700671 1 0.27850932 0.16846198 0.17334512
2700683 2 0.3410241 0.21371487 0.21990973
2709639 1 0.31110823 0.18409342 0.18948798
2713849 2 0.26349863 0.25599706 0.26349863
2718206 1 0.2849363 0.20893821 0.24319397
2726514 2 0.7419801 0.27737775 0.31350502
2726540 2 0.49115586 0.22656274 0.26440033
2729468 2 0.34250835 0.15586844 0.18217659
2737761 2 0.6345321 0.2701072 0.3636461
2737786 1 0.59612113 0.29536918 0.3040245
2740022 1 0.38880318 0.23655315 0.26822707
2766875 2 0.32597688 0.1911504 0.22002494
2766886 2 0.33068165 0.32126743 0.33068165
2766898 2 0.28906512 0.2808357 0.28906512
2767137 2 0.6862604 0.37378392 0.45224407
2769446 2 0.44463238 0.27138957 0.31297213
2778945 2 0.5600086 0.2818306 0.31851807
2782171 1 0.37227887 0.28259605 0.32569665
2782204 1 0.30819905 0.20813678 0.21408598
2791738 2 0.49449682 0.36491224 0.37548977
2800936 2 0.44018957 0.34434378 0.41497177
2806401 2 0.6325501 0.3165299 0.3884259
2809077 2 0.5908512 0.3208373 0.3615872
2816301 2 0.28350052 0.26963052 0.27733743
2822794 1 0.5320568 0.19973053 0.2562238
2848680 1 0.37322897 0.16484247 0.21935847
2878686 1 0.37523994 0.20646513 0.23720323
2884455 2 0.6358869 0.5217089 0.5369967
2908674 2 0.50339323 0.4892126 0.50339323
2921813 2 0.37764627 0.22300324 0.2290669
2930290 1 0.5268015 0.23405248 0.24074244
2938513 1 0.28902093 0.2808792 0.32148716
2941598 2 0.5115534 0.30228326 0.31093484
2954974 2 0.24136594 0.10942007 0.11262644
2963121 2 0.4530266 0.2362465 0.24299918
2963752 2 0.2852115 0.27766168 0.2852115
2970786 1 0.44444835 0.17362049 0.17865317
2990894 2 0.2895478 0.27693787 0.28446802
3002375 2 0.57188666 0.24741548 0.30925977
3014817 2 0.42196065 0.32660162 0.39317697
3015424 2 0.28522348 0.16060072 0.16530685
3015487 1 0.33293256 0.18102406 0.18627132
3015570 1 0.16625062 0.08344194 0.085887074
3015759 1 0.29711157 0.28874192 0.29711157
3015918 2 0.33157295 0.18192501 0.21203744
3016001 1 0.3384061 0.24402778 0.28004083
3016115 1 0.31069416 0.09120289 0.093682766
3018959 2 0.26012638 0.22334298 0.25906876
3019596 2 0.35625842 0.27448007 0.31209862
3021277 2 0.40773323 0.1910657 0.19626093
3052620 1 0.41431233 0.29034302 0.29865286
3056215 2 0.27595288 0.19485036 0.2301165
3066713 2 0.38529977 0.2342855 0.26329198
3094260 2 0.5520496 0.25888905 0.29262096
3097809 2 0.46229827 0.33597958 0.34559563
3099610 2 0.67492706 0.6324091 0.6505092
3111156 2 0.25024858 0.23870397 0.24552688
3129104 2 0.35238472 0.31390178 0.3228741
3148597 2 0.28077993 0.26733065 0.33397007
3162726 1 0.23915312 0.23241617 0.23915312
3195536 2 0.30242798 0.22464915 0.2563554
3205541 2 0.25658798 0.22677673 0.23326726
3205660 2 0.3687771 0.30237368 0.36360174
3205779 2 0.38019007 0.29571238 0.3356317
3214510 1 0.31326795 0.27375013 0.28168523
3282101 1 0.22107862 0.09196046 0.09462608
3340954 1 0.2447789 0.16656594 0.17139411
3361201 2 0.42440253 0.32947183 0.3708901
3369119 1 0.41571227 0.4041453 0.41571227
3430087 2 0.38779736 0.3212734 0.38580513
3444845 1 0.5772518 0.2880229 0.32898796
3493838 1 0.34537938 0.18774842 0.19311486
3516685 1 0.14546189 0.14141965 0.14546189
3522359 1 0.53477174 0.28823382 0.35038692
3583074 2 0.201862 0.107470065 0.11054594
3614797 1 0.3432804 0.30160394 0.34020063
3628456 2 0.40801603 0.3965222 0.4422024
3646223 1 0.19918805 0.15221353 0.15656428
3651717 1 0.34841317 0.24246813 0.24949646
3719296 1 0.78642505 0.34137547 0.38452286
3780706 2 0.48201388 0.2681602 0.3028359
3853875 2 0.18690363 0.11474143 0.11806739
3873172 1 0.48806766 0.27323058 0.30868992
3874942 1 0.26849067 0.23037902 0.23697266
