pmcid relevancy abstract body title
1184084 2 0.14845335 0.11835884 0.14845335
1208898 2 0.13335507 0.10827173 0.13335507
126217 2 0.16569436 0.13383007 0.16569436
1298328 2 0.18716061 0.14921935 0.18716061
1524743 2 0.19668992 0.15886496 0.19668992
1566965 2 0.11521197 0.09185615 0.11521197
1609173 2 0.16665323 0.1353067 0.16665323
1661644 2 0.11645046 0.093120895 0.11645046
1781939 2 0.09573055 0.076348916 0.09573055
1866224 2 0.10936181 0.08722039 0.10936181
1936260 2 0.16065107 0.12975666 0.16065107
1936264 2 0.24294643 0.19369625 0.24294643
1937001 2 0.31677565 0.25264114 0.31677565
2040183 2 0.2081299 0.16593772 0.2081299
2050627 2 0.17634791 0.14064446 0.17634791
2248794 2 0.23992775 0.19128953 0.23992775
2267483 2 0.07079986 0.057184502 0.07079986
2267485 2 0.17034298 0.13621664 0.17034298
2277453 2 0.12406116 0.09920688 0.12406116
2289820 2 0.28906894 0.23046878 0.28906894
2322920 2 0.17816864 0.14209656 0.17816864
2329635 2 0.27759528 0.22139329 0.27759528
2544368 2 0.1283279 0.10231322 0.1283279
2546467 2 0.117548816 0.09374986 0.117548816
2546475 2 0.3440232 0.27931437 0.3440232
2566998 2 0.14686202 0.11861933 0.14686202
2588091 2 0.19110058 0.15241031 0.19110058
2612651 2 0.1471697 0.119487904 0.1471697
2613968 2 0.30993155 0.24718271 0.30993155
2643104 2 0.19301419 0.15434594 0.19301419
2682380 2 0.17836754 0.14263357 0.17836754
2685263 2 0.2578344 0.20556612 0.2578344
2685267 2 0.12596011 0.10173703 0.12596011
2697589 2 0.09260604 0.07479719 0.09260604
2699644 2 0.23017825 0.18351646 0.23017825
2703233 2 0.16303174 0.1300243 0.16303174
2714827 2 0.11472162 0.09146521 0.11472162
2727882 2 0.12674968 0.10105494 0.12674968
2728188 2 0.22993472 0.18332227 0.22993472
2766835 2 0.27920038 0.22260077 0.27920038
2817938 2 0.1585192 0.12642536 0.1585192
2895897 2 0.26858854 0.21693695 0.26858854
2899785 2 0.24057427 0.1953236 0.24057427
2909499 2 0.14065975 0.11218175 0.14065975
2931762 2 0.18311974 0.14599764 0.18311974
2940796 2 0.15873495 0.12659743 0.15873495
2947011 2 0.09162244 0.07400274 0.09162244
2948330 2 0.14995112 0.121746145 0.14995112
2971719 2 0.19332352 0.15459329 0.19332352
2971725 2 0.1472521 0.11740111 0.1472521
2971740 2 0.13183215 0.10542104 0.13183215
2990904 2 0.29543114 0.23624477 0.29543114
3034724 2 0.28297302 0.22974738 0.28297302
3082804 2 0.1567271 0.1249961 0.1567271
3095556 2 0.12231304 0.098791294 0.12231304
3102469 2 0.3185703 0.25730678 0.3185703
3131985 2 0.20761916 0.16558455 0.20761916
3132720 2 0.09108563 0.07395294 0.09108563
3135990 2 0.10616761 0.086198084 0.10616761
3139257 2 0.26857492 0.21805747 0.26857492
3139264 2 0.38990116 0.31656295 0.38990116
3141385 2 0.12367035 0.099887595 0.12367035
3169776 2 0.17671141 0.14130925 0.17671141
3186889 2 0.14930768 0.119078815 0.14930768
3232638 2 0.15006672 0.12184001 0.15006672
3264422 2 0.11609122 0.09425511 0.11609122
3273686 2 0.20055285 0.15994887 0.20055285
3276006 2 0.3797761 0.30278772 0.3797761
3296386 2 0.16873106 0.13699369 0.16873106
3296391 2 0.29916522 0.23923077 0.29916522
3309219 2 0.13720173 0.10971489 0.13720173
3411311 2 0.20591155 0.16416907 0.20591155
3431956 2 0.13766888 0.111774124 0.13766888
3513203 2 0.20948872 0.16707559 0.20948872
3546323 2 0.27346644 0.21868044 0.27346644
3549483 2 0.25766298 0.20811243 0.25766298
3648838 2 0.29868934 0.23885025 0.29868934
3657072 2 0.18360311 0.14829485 0.18360311
3809875 2 0.36088482 0.29148394 0.36088482
3817709 2 0.11827954 0.09430187 0.11827954
3869728 2 0.2379757 0.19221115 0.2379757
3879247 2 0.22692972 0.18092646 0.22692972
493281 2 0.18632787 0.1504956 0.18632787
517502 2 0.23987548 0.19181907 0.23987548
517940 2 0.20104793 0.16034369 0.20104793
