pmcid relevancy abstract body title
101408 1 0.0 0.0 0.0
1084359 1 0.049206067 0.043096643 0.045106772
1140938 2 0.2151935 0.1933588 0.20197892
1151653 2 0.068240546 0.059831772 0.06262246
1269452 1 0.06949028 0.062189534 0.06492301
1269460 2 0.03864817 0.033014443 0.034472667
1278477 1 0.06472569 0.05777909 0.060318712
1280924 1 0.08458924 0.076125495 0.079519235
1281279 1 0.058592454 0.052524034 0.054843985
1308833 1 0.046417534 0.04095095 0.057565946
1322287 1 0.11801823 0.1049961 0.1096337
1382235 2 0.080493145 0.07236494 0.07554567
1431557 1 0.046426035 0.041240793 0.06569916
1513065 1 0.04483609 0.0428237 0.04473282
1513521 1 0.11697575 0.10572483 0.11039461
1637335 1 0.06649278 0.058249805 0.060819592
1913587 1 0.05955834 0.053071894 0.055437885
2120825 1 0.02640486 0.022603061 0.023601422
2138688 1 0.033376183 0.028743455 0.030013034
2186939 1 0.022601414 0.019445954 0.020312872
2270726 1 0.028701182 0.024516527 0.025599403
2527784 2 0.08865553 0.07955746 0.11112405
2583982 2 0.046569183 0.041059617 0.060420584
2584645 2 0.13185056 0.11909886 0.14934947
2589194 2 0.025625186 0.021505134 0.022453865
2595654 2 0.046472374 0.039949317 0.041730296
2655275 2 0.050442155 0.044678092 0.06431201
2686852 1 0.11029388 0.09949381 0.10392934
2700089 1 0.1235977 0.11262695 0.11757735
2704528 1 0.123600364 0.11198698 0.1474265
2734629 1 0.035370823 0.033796147 0.035287116
2741486 1 0.07204924 0.06450275 0.067351796
2746452 1 0.11350901 0.10264921 0.10743701
2768506 1 0.09502335 0.0858391 0.117119685
2778562 2 0.15600549 0.14903913 0.15559001
2799413 1 0.11302545 0.10225255 0.107021846
2821392 1 0.12262504 0.11086256 0.14780268
2877029 2 0.13275547 0.11928061 0.12484412
2882550 2 0.06411758 0.05682544 0.07703026
2915794 1 0.07577237 0.06763221 0.07064732
2951033 1 0.07174918 0.06855497 0.07157938
2989378 1 0.08387736 0.07542211 0.078737214
3010678 2 0.10946906 0.097882494 0.1022059
3018974 2 0.094431974 0.08527346 0.08907504
3031940 1 0.14071894 0.12787063 0.13357122
3034940 1 0.11159172 0.100713335 0.10516177
3041782 2 0.061846267 0.055078596 0.057499528
3075814 2 0.07997603 0.0713625 0.07469102
3079865 2 0.09008067 0.08097327 0.08453237
3095901 2 0.15709881 0.1426918 0.1738607
3104441 1 0.113597274 0.10260789 0.10711792
3108690 1 0.13631631 0.123260066 0.12867783
3109817 2 0.049730796 0.04311079 0.04503271
3113834 2 0.08774388 0.07901884 0.12343489
3123561 2 0.052439176 0.046459686 0.065041564
3129124 2 0.085142374 0.08135191 0.08494088
3134260 2 0.09107557 0.087008625 0.09083301
3134320 2 0.0855354 0.07660712 0.104229964
3140027 2 0.057212457 0.050502222 0.052722
3141718 2 0.14702606 0.13425617 0.16895582
3156535 1 0.09789878 0.08768634 0.09155938
3166263 2 0.12955749 0.12377216 0.12921245
3169862 2 0.113631085 0.10855044 0.113345034
3169863 2 0.0950992 0.08388707 0.08757424
3198526 2 0.087013274 0.08312774 0.08678154
3212801 2 0.15323922 0.13906372 0.14520606
3224772 2 0.14721829 0.13370177 0.16637647
3230027 2 0.14531945 0.13206767 0.16326572
3246474 2 0.04892389 0.043263312 0.04519203
3256118 2 0.06865239 0.06106945 0.06379198
3288929 1 0.029763514 0.028370757 0.029694034
3290258 2 0.025201295 0.024022024 0.025142467
3303894 2 0.12564602 0.11299148 0.11802875
3337801 2 0.04546685 0.040080614 0.06524906
3342720 2 0.08522909 0.07659118 0.080163576
3349544 1 0.06045889 0.05384124 0.056216527
