pmcid	title	abstract	body	relevancy
2929215	0.31593958	0.15395491	0.13316825	0
2892615	0.27604306	0.28272817	0.30207807	0
3834987	0.26945788	0.27538583	0.2972194	0
3835276	0.26635507	0.09148906	0.07615814	0
3658254	0.25687683	0.09514426	0.07169066	0
1712359	0.24841267	0.0	0.0	0
3114433	0.24474613	0.074389584	0.082943745	0
1915650	0.23609293	0.24137361	0.24342081	0
3833481	0.23518124	0.240801	0.25418282	0
3656631	0.23284383	0.23840775	0.25553775	0
3614649	0.22915074	0.23419194	0.23628332	2
3517569	0.22812358	0.06580207	0.0	0
3490473	0.22395399	0.22896314	0.23090512	0
3280186	0.21865575	0.22391883	0.22570685	0
3423911	0.21780309	0.22307777	0.2249563	0
3320390	0.21584862	0.221076	0.23804781	2
3894143	0.21218957	0.21732831	0.23350263	0
3764358	0.21175468	0.25471878	0.21870923	0
2751738	0.21148875	0.2165424	0.21840349	0
2868875	0.21009955	0.21518768	0.21699974	0
3403064	0.20910682	0.2141709	0.2159744	0
3858699	0.2090459	0.2141085	0.2159115	0
3820174	0.2051561	0.21012451	0.21189395	0
2611962	0.20420311	0.20911829	0.22379825	0
3172973	0.20286497	0.20771253	0.20949773	0
3420609	0.19901943	0.20339777	0.20521413	0
3264568	0.19888905	0.20333758	0.20506221	0
3622393	0.197472	0.20188884	0.20360118	0
3665179	0.19716255	0.060918014	0.0	0
3755437	0.19544916	0.20015365	0.2017519	0
3562534	0.19332963	0.1979831	0.199564	0
3166438	0.19210374	0.19669418	0.19838469	0
2956246	0.19043078	0.0	0.0	0
3517187	0.1880139	0.19256717	0.19418876	0
3833581	0.1841191	0.18855089	0.19005647	0
2793241	0.18364225	0.18806256	0.18956424	0
3848723	0.1834428	0.18754584	0.18913653	0
3654939	0.18198828	0.18639565	0.18796524	0
3610089	0.18192704	0.18592936	0.18758972	0
3821148	0.17814615	0.1820653	0.19754297	0
3570032	0.17781177	0.18209171	0.18354574	0
3139154	0.17780066	0.18171218	0.1833349	0
3764340	0.17752081	0.18176277	0.18332493	0
2807864	0.17410178	0.17829245	0.19078112	0
3555597	0.17391327	0.17806901	0.17959943	0
3718246	0.17358087	0.17772867	0.17925617	0
3759076	0.17332356	0.17720026	0.17870317	0
