pmcid relevancy tfidf bm25 ib lmd lmj dfr
2245959 1 0.21359265 0.21359265 0.31231326 0.31231326 0.31231326 0.0
2365938 1 0.3230761 0.3230761 0.47124475 0.47160968 0.47210866 0.0
2385905 1 0.022078922 0.022078922 0.03219321 0.032615036 0.03257833 0.0
2442045 1 0.20666824 0.20671645 0.29922417 0.29833627 0.29922417 0.0
2449135 1 0.015794521 0.015811889 0.023091255 0.02300347 0.023091255 0.0
2467416 1 0.32252216 0.32243416 0.4552415 0.45478946 0.4552415 0.0
2475384 1 0.013478502 0.013478502 0.019749017 0.019773815 0.019749017 0.0
2478665 1 0.14812785 0.14814734 0.21555823 0.214727 0.21555823 0.0
2546371 1 0.26113918 0.26113918 0.3822829 0.3822829 0.3822829 0.0
2546372 1 0.29335698 0.29335698 0.43015397 0.42921957 0.42921957 0.0
2562359 1 0.15497343 0.15497343 0.22594245 0.22557142 0.22557142 0.0
2575197 1 0.18121402 0.18121402 0.2647665 0.2647665 0.2647665 0.0
2644320 1 0.28612143 0.28612143 0.41677535 0.41766736 0.41760504 0.0
2659845 1 0.25528285 0.25528285 0.37413335 0.37413335 0.37413335 0.0
2726470 1 0.21254687 0.21259443 0.30865836 0.30828726 0.30865836 0.0
2736155 1 0.1889243 0.1889243 0.27688065 0.27688065 0.27688065 0.0
2740171 1 0.26927227 0.26927227 0.39454952 0.39356288 0.39356288 0.0
2821651 2 0.16563392 0.16563392 0.24106999 0.24145074 0.24152213 0.0
2998004 2 0.10979872 0.10979872 0.1598593 0.15949996 0.15949996 0.0
2998026 2 0.11874137 0.11874137 0.1716745 0.17131123 0.1716745 0.0
3015229 1 0.106516756 0.106516756 0.15439324 0.15486072 0.15479195 0.0
3015272 1 0.16268258 0.16268258 0.23928596 0.23879582 0.23879582 0.0
3015275 2 0.14995411 0.14995411 0.21821184 0.21735051 0.21821184 0.0
3015359 2 0.14984898 0.14984898 0.21948285 0.21903816 0.21903816 0.0
3015535 2 0.15581363 0.15581363 0.22674015 0.22607741 0.22674015 0.0
3015536 1 0.06621154 0.06621154 0.09567328 0.09567328 0.09567328 0.0
3015668 2 0.113671705 0.113671705 0.16530624 0.16530624 0.16530624 0.0
3015684 1 0.22091906 0.22076078 0.32199162 0.3216978 0.32199162 0.0
3015692 1 0.23957261 0.23957261 0.34876588 0.34977853 0.34994966 0.0
3015793 2 0.11779499 0.11779499 0.17116794 0.1710072 0.17102574 0.0
3015967 1 0.13911632 0.13911632 0.20351706 0.20305625 0.20305625 0.0
3016470 2 0.13047433 0.13047433 0.18953332 0.18938829 0.18953332 0.0
3016484 1 0.17689566 0.17689566 0.25828654 0.25775957 0.25775957 0.0
3016825 2 0.13664714 0.13664714 0.19939648 0.19939648 0.19939648 0.0
3017973 2 0.10671363 0.10671363 0.15455134 0.15440184 0.15455134 0.0
3030794 2 0.16750944 0.16750944 0.24442594 0.24383254 0.24383254 0.0
3113179 1 0.26837373 0.26837373 0.3910662 0.3917691 0.39231074 0.0
3183543 1 0.21762018 0.21762018 0.31948543 0.31874737 0.31874737 0.0
3191386 2 0.12515855 0.12515855 0.1834388 0.1834388 0.1834388 0.0
3261406 2 0.11919945 0.11919945 0.17378423 0.17378423 0.17378423 0.0
3340973 1 0.30452627 0.30461442 0.4429008 0.44155174 0.4429008 0.0
3625558 2 0.19120489 0.1912404 0.27797058 0.27734357 0.27797058 0.0
3627155 2 0.08465452 0.084658094 0.122490175 0.122026555 0.122490175 0.0
3630710 2 0.17994434 0.17994434 0.26369423 0.26303932 0.26303932 0.0
3673574 2 0.10263612 0.10263612 0.14912343 0.14912343 0.14912343 0.0
3729989 2 0.124976 0.124976 0.18128635 0.18108597 0.18128635 0.0
3729991 2 0.14632307 0.14632307 0.21300754 0.21253556 0.21300754 0.0
3783786 2 0.1474449 0.14745682 0.21285915 0.21209578 0.21285915 0.0
3796724 1 0.16321751 0.16321751 0.23750694 0.23702061 0.23750694 0.0
3870869 2 0.14433432 0.14433432 0.20967652 0.20912942 0.20967652 0.0
3891987 2 0.11857023 0.11857023 0.1726794 0.17231187 0.17231187 0.0
