pmcid relevancy tfidf bm25 ib lmd lmj dfr
130966 1 0.09158682 0.09158682 0.1294892 0.129366 0.12935656 0.0
1559601 2 0.057336934 0.057336934 0.08104592 0.08098559 0.08104592 0.0
1764004 1 0.0 0.0 0.0 0.0 0.0 0.0
1852545 1 0.09030408 0.0902561 0.12773281 0.1277931 0.12773281 0.0
1929108 1 0.09372739 0.09372739 0.13226087 0.13229118 0.13241039 0.0
194433 1 0.10831616 0.10831616 0.1527989 0.15295066 0.15295066 0.0
2045103 1 0.0769753 0.0769753 0.10865826 0.10877493 0.10877493 0.0
2174498 2 0.14339682 0.14339682 0.20294252 0.20329383 0.20294252 0.0
2363727 1 0.07947642 0.07941895 0.11239399 0.112479255 0.11239399 0.0
2430200 1 0.097383454 0.097383454 0.13737366 0.13722429 0.13745697 0.0
2464753 1 0.06837977 0.068329275 0.09637548 0.09643991 0.09637548 0.0
2515422 2 0.044054165 0.044054165 0.062266823 0.062266823 0.062266823 0.0
2531092 1 0.1266601 0.1266601 0.17857021 0.17970242 0.17857021 0.0
2588582 1 0.18675159 0.18675159 0.26423496 0.26423496 0.26423496 0.0
2596547 1 0.017574318 0.017574318 0.024842128 0.024842128 0.024842128 0.0
2627698 2 0.00937217 0.00937217 0.013254525 0.013257115 0.013256496 0.0
2629964 1 0.11612556 0.11612556 0.16336936 0.16380064 0.16380064 0.0
2639604 1 0.05776636 0.057698965 0.08151527 0.08157317 0.08151527 0.0
2672220 1 0.1345786 0.1345786 0.19023478 0.19015759 0.19029965 0.0
2672240 1 0.23534025 0.23534025 0.3317444 0.33232814 0.3317444 0.0
2678699 2 0.13192867 0.13192867 0.18588391 0.1861319 0.1861319 0.0
2700473 2 0.0 0.0 0.0 0.0 0.0 0.0
2721535 1 0.119513385 0.119513385 0.16870935 0.16858795 0.16870935 0.0
2737754 1 0.11996591 0.11996591 0.16956899 0.16956899 0.16956899 0.0
2760693 1 0.15694638 0.15694638 0.21997504 0.22027177 0.22027177 0.0
2767138 2 0.0 0.0 0.0 0.0 0.0 0.0
